Date,Open,High,Low,Close,Volume
12-Jun-15,431.25,432.36,428.26,429.92,2054385
11-Jun-15,432.29,438.89,431.47,432.97,2922459
10-Jun-15,426.46,432.20,425.66,430.77,2172333
9-Jun-15,422.96,427.49,419.14,425.48,2288663
8-Jun-15,425.62,426.80,421.42,423.50,2172525
5-Jun-15,429.66,430.80,426.50,426.95,1907855
4-Jun-15,434.40,436.76,429.26,430.78,2510761
3-Jun-15,434.40,438.39,432.75,436.59,2727914
2-Jun-15,430.07,433.23,426.25,430.99,1669845
1-Jun-15,430.40,433.16,426.20,430.92,2253264
29-May-15,427.23,432.50,427.23,429.23,3016060
28-May-15,429.71,431.35,425.47,426.57,1912436
27-May-15,427.45,431.85,425.01,431.42,2231088
26-May-15,426.20,427.00,422.00,425.47,2244185
22-May-15,431.55,432.44,427.61,427.63,2020629
21-May-15,428.00,436.90,428.00,431.63,4121401
20-May-15,420.60,427.10,418.36,423.86,2196159
19-May-15,424.87,428.24,420.63,421.71,2465240
18-May-15,426.00,427.27,421.46,425.24,2390229
15-May-15,428.00,430.40,424.30,426.00,4240306
14-May-15,429.45,433.00,427.01,432.28,1888477
13-May-15,429.98,433.53,425.80,426.87,1996328
12-May-15,431.08,433.25,426.71,431.02,1947822
11-May-15,432.51,439.00,431.37,432.85,2393737
8-May-15,430.75,435.20,430.17,433.69,2908838
7-May-15,424.15,428.50,422.85,426.88,2766132
6-May-15,421.43,422.72,414.55,419.10,2552474
5-May-15,422.85,427.51,421.02,421.19,2856386
4-May-15,424.80,429.77,422.42,423.04,2270448
1-May-15,423.82,425.64,416.00,422.87,3565824
30-Apr-15,427.11,431.75,419.24,421.78,3647877
29-Apr-15,426.75,434.24,426.03,429.37,3621688
28-Apr-15,438.51,439.00,428.04,429.31,4140483
27-Apr-15,443.86,446.99,437.41,438.56,5430949
24-Apr-15,439.00,452.65,439.00,445.10,17176904
23-Apr-15,390.21,391.88,386.15,389.99,7979985
22-Apr-15,391.91,394.28,388.00,389.80,3474724
21-Apr-15,391.31,394.60,386.80,391.18,4643524
20-Apr-15,378.55,391.94,377.00,389.51,5016148
17-Apr-15,382.63,383.56,374.40,375.56,3839664
16-Apr-15,383.69,387.45,383.55,386.04,2080418
15-Apr-15,384.65,385.78,381.64,383.45,1933229
14-Apr-15,383.51,387.81,381.21,385.11,2583575
13-Apr-15,383.53,385.28,380.14,382.36,1894453
10-Apr-15,384.31,387.12,381.32,382.65,2573519
9-Apr-15,380.66,384.42,378.80,383.54,2392328
8-Apr-15,374.66,381.58,374.65,381.20,2636434
7-Apr-15,376.15,379.31,374.03,374.41,1954902
6-Apr-15,370.10,380.20,369.36,377.04,3050709
2-Apr-15,370.50,373.28,369.00,372.25,1875279
1-Apr-15,372.10,373.16,368.34,370.26,2458095
31-Mar-15,373.24,377.70,371.51,372.10,2506122
30-Mar-15,371.87,376.12,371.55,374.59,1820933
27-Mar-15,367.11,373.17,366.57,370.56,2609774
26-Mar-15,369.59,371.40,365.65,367.35,2929962
25-Mar-15,375.17,380.50,370.28,370.96,3429497
24-Mar-15,373.99,375.24,372.27,374.09,2228214
23-Mar-15,378.07,381.77,374.94,375.11,2239343
