Date,Open,High,Low,Close,Volume
12-Jun-15,142.62,142.86,141.09,142.80,2395238
11-Jun-15,142.01,143.98,141.75,142.96,2924468
10-Jun-15,140.68,142.60,140.29,141.62,2784396
9-Jun-15,140.50,140.99,139.90,140.10,2647571
8-Jun-15,140.24,141.35,140.20,140.64,2756645
5-Jun-15,141.04,141.37,140.05,140.73,3215636
4-Jun-15,143.22,143.23,140.95,141.19,3239507
3-Jun-15,143.78,145.06,142.89,143.81,3755788
2-Jun-15,141.44,144.46,140.63,143.25,4986500
1-Jun-15,141.45,142.05,140.27,141.25,3897020
29-May-15,142.26,142.26,140.32,140.52,6199220
28-May-15,142.51,145.29,141.58,142.33,3103154
27-May-15,143.42,143.75,142.58,143.00,2837146
26-May-15,144.34,144.43,142.16,142.80,3476752
22-May-15,147.26,147.27,144.80,144.81,3877994
21-May-15,146.56,147.71,146.10,147.35,2676437
20-May-15,147.14,147.34,146.10,146.42,2104019
19-May-15,147.18,147.77,146.73,147.05,2366375
18-May-15,146.88,147.24,146.30,146.71,2153190
15-May-15,148.05,148.30,146.34,146.88,3368855
14-May-15,146.88,148.25,146.65,147.96,3495827
13-May-15,145.41,146.53,145.10,145.62,2680190
12-May-15,144.94,146.08,144.01,145.43,3543850
11-May-15,145.55,146.79,145.13,145.89,3969023
8-May-15,143.00,145.94,142.98,145.46,7068011
7-May-15,140.56,142.18,140.48,141.49,4868673
6-May-15,143.01,143.15,140.43,141.04,5313484
5-May-15,143.76,144.70,142.27,142.91,3670396
4-May-15,143.85,144.79,143.18,144.02,8977535
1-May-15,144.41,145.07,143.84,144.67,3556817
30-Apr-15,145.25,145.94,142.75,143.34,4925252
29-Apr-15,147.07,147.45,145.90,146.15,4761676
28-Apr-15,147.90,148.37,146.01,147.51,4352892
27-Apr-15,148.59,149.00,147.71,147.80,4603511
24-Apr-15,149.54,149.86,148.02,148.40,4889228
23-Apr-15,150.83,150.83,149.73,149.87,4080811
22-Apr-15,152.36,153.00,148.85,151.19,8468924
21-Apr-15,153.51,154.09,152.00,153.33,3772879
20-Apr-15,151.06,153.55,151.01,152.67,3169131
17-Apr-15,150.88,151.43,149.44,149.60,4671622
16-Apr-15,151.66,152.53,151.05,151.97,2559883
15-Apr-15,154.37,154.37,152.21,152.43,3687428
14-Apr-15,152.93,153.54,151.59,153.21,2845971
13-Apr-15,153.79,155.50,152.96,153.24,3034047
10-Apr-15,153.55,154.96,153.25,154.38,3182990
9-Apr-15,152.62,153.67,151.63,153.42,3966815
8-Apr-15,152.19,153.50,152.19,153.36,2763398
7-Apr-15,151.27,153.50,151.14,152.32,4299482
