Date,Open,High,Low,Close,Volume
12-Jun-15,87.42,87.79,86.48,86.63,9977141
11-Jun-15,89.03,89.48,87.10,87.21,13716159
10-Jun-15,87.70,88.99,87.20,88.90,12551297
9-Jun-15,88.04,88.18,86.12,87.58,16081784
8-Jun-15,90.65,91.60,88.24,88.29,15702324
5-Jun-15,90.46,91.60,90.46,90.71,11353884
4-Jun-15,90.71,91.41,90.27,90.59,8689039
3-Jun-15,90.73,91.04,89.90,90.79,9428006
2-Jun-15,90.55,91.54,90.19,90.51,9865253
1-Jun-15,90.09,90.99,89.49,90.78,9905935
29-May-15,91.35,91.50,89.32,89.32,13893161
28-May-15,91.69,91.93,90.58,90.95,14212989
27-May-15,92.22,92.99,91.60,92.60,9519276
26-May-15,93.65,93.92,91.55,92.52,15674909
22-May-15,94.28,95.06,93.19,93.27,22183344
21-May-15,91.35,94.77,90.92,93.88,40729389
20-May-15,88.14,90.80,87.30,90.70,29812284
19-May-15,86.99,88.80,86.47,88.21,20727734
18-May-15,87.61,87.93,86.61,87.11,13490194
15-May-15,88.51,88.96,88.05,88.46,13424597
14-May-15,87.74,88.48,87.53,88.40,12087851
13-May-15,87.08,88.47,87.00,87.53,19015929
12-May-15,87.05,87.50,86.14,86.77,16077757
11-May-15,86.70,87.67,86.06,86.72,19776949
8-May-15,87.82,88.27,86.89,87.06,30140638
7-May-15,88.83,89.29,84.91,86.00,69448768
6-May-15,79.65,80.85,79.51,80.00,24953501
5-May-15,80.44,80.90,77.77,79.54,32661944
4-May-15,81.17,81.56,80.12,80.59,21551458
1-May-15,81.03,82.25,80.11,81.17,17910494
30-Apr-15,82.22,82.65,80.44,81.29,14209658
29-Apr-15,84.06,84.40,81.64,82.45,21098023
28-Apr-15,85.54,85.57,83.82,85.08,11110498
27-Apr-15,85.53,86.27,84.65,84.90,17434201
24-Apr-15,82.88,84.99,82.80,84.57,21058385
23-Apr-15,81.88,82.75,81.62,82.28,11483253
22-Apr-15,82.78,82.84,81.52,82.05,13316927
21-Apr-15,82.86,82.92,82.14,82.42,10055961
20-Apr-15,82.25,82.69,81.52,82.20,13470955
17-Apr-15,83.08,83.25,81.61,81.90,22791777
16-Apr-15,85.15,85.40,83.89,84.06,12048583
15-Apr-15,85.08,85.36,84.16,84.67,12225844
14-Apr-15,84.63,85.13,83.53,85.00,11819027
13-Apr-15,85.16,85.71,83.82,84.28,15797050
10-Apr-15,86.68,86.69,84.15,84.58,18300267
9-Apr-15,87.03,87.69,85.20,86.14,27800359
8-Apr-15,83.30,85.54,83.07,85.39,26161527
7-Apr-15,81.94,82.95,81.88,82.21,9443023
6-Apr-15,82.05,82.59,81.61,81.82,12810548
2-Apr-15,82.88,83.00,81.25,82.28,19868163
