Date,Open,High,Low,Close,Volume
12-Jun-15,17.45,17.58,17.36,17.49,53149442
11-Jun-15,17.62,17.68,17.44,17.49,77191527
10-Jun-15,17.39,17.62,17.36,17.59,102643147
9-Jun-15,17.05,17.35,17.00,17.31,82104858
8-Jun-15,17.27,17.33,17.05,17.08,69749600
5-Jun-15,17.04,17.35,16.96,17.19,119087408
4-Jun-15,16.87,16.98,16.72,16.78,61025453
3-Jun-15,16.79,17.02,16.74,16.93,89614868
2-Jun-15,16.52,16.76,16.50,16.72,65513210
1-Jun-15,16.58,16.64,16.47,16.55,62941625
29-May-15,16.66,16.67,16.47,16.50,74266166
28-May-15,16.72,16.73,16.58,16.67,60969979
27-May-15,16.56,16.75,16.54,16.74,70026719
26-May-15,16.73,16.73,16.43,16.50,100048158
22-May-15,16.72,16.80,16.70,16.75,47032906
21-May-15,16.71,16.75,16.56,16.73,52056583
20-May-15,16.78,16.85,16.63,16.74,67683965
19-May-15,16.59,16.78,16.58,16.77,89115475
18-May-15,16.31,16.54,16.31,16.51,51059870
15-May-15,16.52,16.52,16.30,16.35,54937772
14-May-15,16.53,16.59,16.45,16.52,55395660
13-May-15,16.44,16.52,16.36,16.47,47330638
12-May-15,16.46,16.48,16.35,16.43,59627058
11-May-15,16.45,16.59,16.43,16.49,56246007
8-May-15,16.32,16.46,16.22,16.45,86333659
7-May-15,16.23,16.33,16.09,16.24,73794827
6-May-15,16.36,16.49,16.08,16.29,96426526
5-May-15,16.42,16.61,16.33,16.35,106148744
4-May-15,16.14,16.45,16.12,16.44,76592284
1-May-15,16.00,16.15,15.92,16.11,78171362
30-Apr-15,16.00,16.05,15.79,15.93,78313865
29-Apr-15,15.60,16.04,15.57,15.98,134499395
28-Apr-15,15.58,15.71,15.50,15.65,58080055
27-Apr-15,15.63,15.76,15.56,15.56,73523391
24-Apr-15,15.71,15.75,15.61,15.64,40766109
23-Apr-15,15.72,15.80,15.68,15.69,50292151
22-Apr-15,15.55,15.83,15.49,15.74,73092762
21-Apr-15,15.60,15.64,15.43,15.50,64033133
20-Apr-15,15.62,15.69,15.56,15.57,53649399
17-Apr-15,15.71,15.75,15.50,15.56,88994274
16-Apr-15,15.64,15.94,15.58,15.79,105591004
15-Apr-15,15.70,15.85,15.59,15.64,124479058
14-Apr-15,15.88,15.95,15.71,15.82,84385405
13-Apr-15,15.78,15.86,15.74,15.80,49191244
10-Apr-15,15.69,15.79,15.60,15.72,43817662
9-Apr-15,15.63,15.76,15.53,15.71,44935551
8-Apr-15,15.51,15.74,15.50,15.61,71732476
7-Apr-15,15.53,15.65,15.45,15.46,50057793
6-Apr-15,15.39,15.60,15.34,15.51,51189543
2-Apr-15,15.43,15.62,15.43,15.54,50443508
1-Apr-15,15.42,15.46,15.25,15.41,73153854
31-Mar-15,15.50,15.52,15.38,15.39,61381735
30-Mar-15,15.42,15.61,15.40,15.52,70835266
27-Mar-15,15.48,15.49,15.27,15.31,73140825
26-Mar-15,15.38,15.54,15.26,15.42,76741501
25-Mar-15,15.63,15.65,15.40,15.41,88541470
24-Mar-15,15.73,15.80,15.61,15.61,77010981
23-Mar-15,15.82,15.88,15.72,15.72,73773531
20-Mar-15,15.70,15.93,15.64,15.84,99867679
19-Mar-15,15.96,15.97,15.61,15.61,109169157
18-Mar-15,16.01,16.10,15.91,15.98,86387603
17-Mar-15,16.07,16.12,15.96,16.09,67314982
16-Mar-15,16.11,16.22,15.85,16.13,63406461
13-Mar-15,16.08,16.15,15.94,16.09,88581887
12-Mar-15,16.05,16.21,15.90,16.09,126376330
11-Mar-15,15.92,16.16,15.87,16.11,85910140
10-Mar-15,16.04,16.13,15.79,15.79,85633552
9-Mar-15,16.31,16.33,16.12,16.17,72912722
6-Mar-15,16.41,16.62,16.16,16.22,163207226
5-Mar-15,15.92,16.03,15.74,16.00,69509958
4-Mar-15,15.96,15.98,15.76,15.84,78441603
3-Mar-15,16.03,16.15,15.96,16.04,65689812
2-Mar-15,15.79,16.03,15.72,16.01,71402439
27-Feb-15,15.78,15.88,15.62,15.81,130448222
26-Feb-15,16.42,16.44,15.90,16.04,161100671
25-Feb-15,16.37,16.50,16.32,16.49,57200974
24-Feb-15,16.27,16.55,16.25,16.38,74109596
23-Feb-15,16.32,16.32,16.10,16.20,87623654
20-Feb-15,16.14,16.43,16.01,16.38,89763586
19-Feb-15,16.21,16.38,16.08,16.21,83604303
18-Feb-15,16.55,16.56,16.24,16.30,84057353
17-Feb-15,16.52,16.68,16.37,16.63,93350603
13-Feb-15,16.73,16.79,16.54,16.61,93632718
12-Feb-15,16.41,16.73,16.37,16.67,116394126
11-Feb-15,16.33,16.45,16.21,16.36,99924367
10-Feb-15,16.56,16.62,16.35,16.42,100322839
9-Feb-15,16.35,16.50,16.25,16.35,95532929
6-Feb-15,16.30,16.75,16.22,16.49,160832299
5-Feb-15,15.98,16.09,15.90,15.97,92264706
4-Feb-15,15.79,16.00,15.75,15.79,83848119
3-Feb-15,15.62,15.93,15.61,15.89,105159425
2-Feb-15,15.27,15.49,15.12,15.46,101586694
30-Jan-15,15.23,15.47,15.15,15.15,99844602
29-Jan-15,15.31,15.49,15.20,15.43,76095811
28-Jan-15,15.72,15.73,15.18,15.20,105359816
27-Jan-15,15.55,15.79,15.48,15.63,86184227
26-Jan-15,15.72,15.93,15.70,15.85,69969283
23-Jan-15,16.04,16.19,15.73,15.73,103376863
22-Jan-15,15.55,16.19,15.43,16.09,183042071
21-Jan-15,15.28,15.57,15.15,15.41,101054166
20-Jan-15,15.59,15.63,15.20,15.26,123402773
16-Jan-15,15.16,15.40,14.97,15.38,149802031
15-Jan-15,15.59,15.76,15.15,15.20,193241269
14-Jan-15,16.00,16.22,15.77,16.04,164779753
13-Jan-15,16.82,16.89,16.32,16.45,100845428
12-Jan-15,17.02,17.03,16.66,16.68,92762501
9-Jan-15,17.38,17.38,16.95,16.98,84144582
8-Jan-15,17.16,17.34,17.10,17.29,73388499
7-Jan-15,17.14,17.18,16.87,16.94,104603795
6-Jan-15,17.42,17.44,16.78,16.86,144912399
5-Jan-15,17.78,17.81,17.29,17.38,105605485
2-Jan-15,17.99,18.03,17.68,17.90,48951133
31-Dec-14,18.19,18.21,17.89,17.89,57819572
30-Dec-14,18.04,18.18,18.01,18.13,41433523
29-Dec-14,17.97,18.19,17.91,18.11,58370887
26-Dec-14,18.02,18.05,17.95,17.98,34362457
24-Dec-14,17.96,18.10,17.92,17.98,35091254
23-Dec-14,17.83,17.99,17.78,17.93,94405246
22-Dec-14,17.65,17.73,17.55,17.71,70969282
19-Dec-14,17.49,17.70,17.49,17.62,105588213
18-Dec-14,17.47,17.53,17.34,17.53,79333998
17-Dec-14,16.87,17.27,16.82,17.26,92164082
16-Dec-14,16.74,17.19,16.59,16.72,96111951
15-Dec-14,17.30,17.31,16.76,16.85,101305256
12-Dec-14,17.37,17.45,17.13,17.13,88886701
11-Dec-14,17.44,17.65,17.44,17.47,80173209
10-Dec-14,17.48,17.68,17.37,17.38,103611138
9-Dec-14,17.18,17.59,17.17,17.56,95965217
8-Dec-14,17.66,17.87,17.51,17.66,101035132
5-Dec-14,17.41,17.71,17.35,17.68,131823990
4-Dec-14,17.24,17.34,17.13,17.21,49773593
3-Dec-14,17.10,17.30,17.06,17.29,70104217
2-Dec-14,16.87,17.15,16.86,17.15,62945173
1-Dec-14,16.92,16.94,16.73,16.79,61173148
28-Nov-14,17.07,17.15,17.03,17.04,27834925
26-Nov-14,17.12,17.15,17.04,17.11,27358440
25-Nov-14,17.23,17.26,17.08,17.10,44786324
24-Nov-14,17.16,17.28,17.08,17.18,52785687
21-Nov-14,17.15,17.19,17.06,17.12,62999975
20-Nov-14,16.96,17.01,16.83,17.00,49652114
19-Nov-14,17.14,17.15,17.01,17.06,49441553
18-Nov-14,17.07,17.22,17.06,17.14,39490695
17-Nov-14,17.06,17.14,16.97,17.09,43393347
14-Nov-14,17.16,17.25,17.10,17.14,41144632
13-Nov-14,17.28,17.30,17.12,17.22,50586273
