Date,Open,High,Low,Close,Volume
12-Jun-15,141.12,141.15,139.78,140.29,2768443
11-Jun-15,141.43,141.61,140.60,141.36,2435970
10-Jun-15,140.00,141.50,139.68,140.86,3157573
9-Jun-15,139.21,140.39,139.14,139.63,2612820
8-Jun-15,140.43,140.70,139.52,139.52,2998646
5-Jun-15,141.51,141.81,140.52,140.76,3343896
4-Jun-15,142.57,142.90,141.23,141.37,3369060
3-Jun-15,143.43,143.73,142.56,143.19,2288341
2-Jun-15,143.20,143.35,142.28,143.03,2738235
1-Jun-15,143.26,144.07,143.06,143.35,2579409
29-May-15,144.87,144.99,143.00,143.00,3641065
28-May-15,144.93,145.10,144.01,144.74,2299957
27-May-15,143.71,145.15,143.58,144.75,2275433
26-May-15,144.44,144.90,143.56,143.63,3299412
22-May-15,145.10,145.27,144.53,144.60,2188535
21-May-15,145.60,145.93,145.16,145.27,2293954
20-May-15,146.41,146.44,145.64,145.94,2240136
19-May-15,145.83,147.00,145.26,146.54,2636789
18-May-15,145.39,145.90,145.04,145.83,2267248
15-May-15,145.93,146.09,144.65,145.26,2424048
14-May-15,145.22,145.83,144.52,145.78,2326437
13-May-15,144.16,144.73,144.02,144.26,2622401
12-May-15,145.35,145.39,144.03,144.79,2823185
11-May-15,148.50,148.57,146.00,146.17,3815699
8-May-15,146.56,148.42,146.40,148.31,5277924
7-May-15,143.41,145.52,143.36,145.31,3314764
6-May-15,145.00,145.44,142.94,143.78,3320517
5-May-15,145.91,146.42,144.51,144.56,2993479
4-May-15,144.95,146.33,144.00,146.15,4229441
1-May-15,142.00,143.36,141.79,143.36,2797857
30-Apr-15,141.78,142.57,140.93,141.21,3554648
29-Apr-15,141.63,142.76,141.57,142.41,3126973
28-Apr-15,140.81,142.63,140.59,142.52,2564715
27-Apr-15,142.28,142.36,140.87,141.09,3210586
24-Apr-15,142.00,142.55,141.75,142.09,2255676
23-Apr-15,141.95,143.02,141.63,142.43,2631422
22-Apr-15,141.41,142.22,141.09,141.99,2629443
21-Apr-15,142.40,142.47,141.12,141.14,3008180
20-Apr-15,141.69,142.41,141.51,142.09,2669747
17-Apr-15,141.20,141.54,140.33,140.70,4613740
16-Apr-15,142.50,142.80,141.70,142.10,2693075
15-Apr-15,142.73,143.48,142.58,142.71,2620707
14-Apr-15,143.65,143.77,142.12,142.75,2929734
13-Apr-15,143.28,143.95,143.00,143.46,2149491
10-Apr-15,143.42,143.75,143.02,143.50,2354132
9-Apr-15,143.02,143.70,142.78,143.65,2820973
8-Apr-15,143.10,143.78,142.82,143.28,4775656
7-Apr-15,143.56,144.02,143.00,143.06,2760940
6-Apr-15,143.00,144.45,142.57,143.76,2447414
2-Apr-15,143.59,143.90,143.15,143.56,2336262
1-Apr-15,144.34,144.63,143.39,143.45,3695926
31-Mar-15,145.76,145.77,144.26,144.32,3600187
30-Mar-15,144.47,146.12,144.15,145.98,3348885
27-Mar-15,143.48,143.91,142.90,143.89,3480701
26-Mar-15,142.70,143.71,142.50,143.03,3550801
25-Mar-15,144.68,144.93,143.56,143.56,3993383
24-Mar-15,145.26,145.46,144.24,144.29,2764549
23-Mar-15,145.48,146.29,145.02,145.56,3046876
20-Mar-15,145.23,145.82,144.89,145.53,5858678
19-Mar-15,145.64,146.00,144.45,144.88,2633773
18-Mar-15,144.56,146.55,143.94,146.00,3490582
17-Mar-15,145.09,145.47,143.94,144.75,2580034
16-Mar-15,144.92,146.06,144.78,145.98,3858587
13-Mar-15,145.28,145.50,143.27,143.97,3321688
12-Mar-15,144.34,145.73,144.01,145.67,3539625
11-Mar-15,143.48,144.24,143.24,143.44,2894299
10-Mar-15,145.42,145.44,143.18,143.19,5258244
9-Mar-15,145.50,146.53,145.25,146.13,2608843
6-Mar-15,146.14,147.48,145.10,145.28,4099442
5-Mar-15,145.41,146.25,144.83,146.06,2711676
4-Mar-15,145.20,145.51,144.07,144.92,3250301
3-Mar-15,146.79,146.94,145.06,145.93,3970710
2-Mar-15,147.71,147.98,145.89,147.08,4896732
27-Feb-15,148.22,148.32,147.05,147.41,3377367
26-Feb-15,148.55,148.97,147.90,148.34,2549796
25-Feb-15,149.39,149.39,148.46,148.78,2672135
24-Feb-15,147.50,149.36,147.25,148.95,2914860
23-Feb-15,148.20,148.45,146.82,147.37,3775545
20-Feb-15,147.27,148.72,146.58,148.72,4877584
19-Feb-15,148.21,148.35,147.09,147.48,2757825
18-Feb-15,148.78,149.13,148.22,148.67,2220726
17-Feb-15,148.36,149.37,148.16,149.17,2738314
13-Feb-15,149.60,149.60,148.01,148.34,3669443
12-Feb-15,150.00,150.41,149.36,149.79,3608640
11-Feb-15,149.84,150.27,148.80,149.68,2732165
10-Feb-15,149.66,150.51,148.90,149.92,2975487
9-Feb-15,149.91,149.97,148.72,149.13,2429680
6-Feb-15,149.80,151.63,149.55,150.18,4050554
5-Feb-15,147.89,149.88,147.75,149.67,3085304
4-Feb-15,148.26,148.50,147.10,147.53,3574160
3-Feb-15,147.75,148.48,146.86,148.29,4981656
2-Feb-15,144.13,146.75,143.30,146.73,5119483
30-Jan-15,145.57,146.20,143.89,143.91,6242253
29-Jan-15,145.40,146.94,144.25,146.29,4461237
28-Jan-15,148.36,148.77,144.77,144.78,6388812
27-Jan-15,148.25,148.80,147.55,147.65,3220301
26-Jan-15,149.19,149.73,148.16,149.70,2461370
23-Jan-15,149.99,150.00,149.09,149.12,3175784
22-Jan-15,148.01,150.21,147.26,150.15,5892020
21-Jan-15,148.34,148.43,146.59,147.18,4660706
20-Jan-15,150.28,150.60,148.08,148.63,4053972
