Date,Open,High,Low,Close,Volume
12-Jun-15,66.93,67.38,66.76,66.80,3758682
11-Jun-15,67.30,67.45,66.90,67.27,2135507
10-Jun-15,67.12,67.20,66.75,66.85,2968325
9-Jun-15,66.86,67.14,66.72,66.83,2792702
8-Jun-15,67.08,67.37,66.81,66.93,3405552
5-Jun-15,67.29,67.44,66.72,67.14,3602321
4-Jun-15,68.26,68.80,67.77,67.88,3238427
3-Jun-15,69.59,69.68,68.03,68.43,3376084
2-Jun-15,70.15,70.18,68.84,69.59,3020018
1-Jun-15,70.60,70.91,70.32,70.50,1769088
29-May-15,71.11,71.13,70.31,70.52,3582076
28-May-15,70.80,71.22,70.58,70.97,1899657
27-May-15,70.88,71.06,70.58,70.83,2620577
26-May-15,71.82,71.99,70.97,71.51,2563915
22-May-15,71.80,72.12,71.55,71.97,1415319
21-May-15,72.07,72.44,71.66,72.02,3154720
20-May-15,72.15,72.42,71.76,71.89,2738097
19-May-15,71.86,72.47,71.77,72.19,1792198
18-May-15,71.85,72.42,71.80,72.26,1396719
15-May-15,71.71,72.38,71.60,72.19,1714944
14-May-15,71.34,71.76,71.23,71.60,1723634
13-May-15,71.09,72.09,70.65,70.90,2544579
12-May-15,70.56,71.31,70.27,71.09,2253778
11-May-15,71.75,72.22,70.99,71.01,1772792
8-May-15,71.74,72.33,71.58,71.79,1927829
7-May-15,71.02,71.53,70.79,70.93,2107835
6-May-15,70.83,71.24,70.07,70.71,3461721
5-May-15,71.65,71.75,70.14,70.82,3344946
4-May-15,71.45,72.57,71.45,71.76,2210893
1-May-15,71.80,72.09,70.85,71.70,2282648
30-Apr-15,72.08,72.19,70.97,71.68,2837260
29-Apr-15,72.11,72.51,71.70,72.30,2126147
28-Apr-15,72.20,72.76,71.57,72.74,2206901
27-Apr-15,73.68,73.90,72.02,72.57,2022486
24-Apr-15,73.05,74.34,72.97,73.54,2868135
23-Apr-15,72.58,73.46,72.39,73.20,2067454
22-Apr-15,72.34,72.67,71.93,72.52,2774203
21-Apr-15,72.78,73.21,71.74,72.09,3569151
20-Apr-15,71.62,73.44,71.62,72.75,2333095
17-Apr-15,71.36,72.00,71.27,71.47,2942045
16-Apr-15,72.15,72.16,71.31,71.80,2373780
15-Apr-15,71.83,72.56,71.61,72.42,2953208
14-Apr-15,71.14,71.80,71.03,71.63,1799592
13-Apr-15,71.90,72.00,71.02,71.09,1360809
10-Apr-15,71.45,72.28,71.26,71.90,1175639
9-Apr-15,71.57,71.59,70.81,71.37,1546388
8-Apr-15,71.92,72.04,71.41,71.75,2027332
7-Apr-15,72.71,72.85,71.91,71.95,1853735
6-Apr-15,71.68,73.00,71.68,72.71,2330048
2-Apr-15,71.61,71.83,71.23,71.58,1784269
1-Apr-15,71.11,71.79,70.13,71.51,2596680
31-Mar-15,71.01,71.54,70.33,70.87,2479602
30-Mar-15,70.57,71.40,70.28,71.14,1427481
27-Mar-15,70.44,70.87,70.17,70.39,1962228
26-Mar-15,70.60,71.05,70.08,70.36,2370905
25-Mar-15,71.45,71.92,70.64,70.70,2456095
24-Mar-15,72.00,72.52,71.30,71.46,2376781
23-Mar-15,72.04,72.55,71.92,72.20,2383734
20-Mar-15,71.81,72.55,71.66,72.19,4294089
19-Mar-15,71.80,72.62,71.24,71.60,2561965
18-Mar-15,69.88,72.31,69.58,71.92,3216668
17-Mar-15,69.89,70.29,69.55,69.99,2293772
16-Mar-15,69.23,70.39,69.03,69.98,2621767
13-Mar-15,69.83,69.84,68.25,68.96,2858269
12-Mar-15,69.20,70.11,69.06,69.82,3043052
11-Mar-15,69.51,69.87,68.74,68.75,3760068
10-Mar-15,69.42,70.22,69.23,69.26,5120882
9-Mar-15,69.58,70.14,69.47,69.57,2358995
6-Mar-15,70.15,70.17,69.19,69.58,4783397
5-Mar-15,70.83,71.74,70.64,71.18,3371282
4-Mar-15,70.56,70.82,70.36,70.61,2640185
3-Mar-15,70.42,71.02,69.78,70.97,3734837
2-Mar-15,71.87,71.87,69.90,70.32,4422775
27-Feb-15,71.99,72.50,71.61,72.09,2220205
26-Feb-15,72.81,73.01,71.75,71.95,2416248
25-Feb-15,73.72,73.84,72.59,72.71,2381502
24-Feb-15,73.85,74.73,73.51,74.06,2217360
23-Feb-15,73.97,74.30,73.47,73.90,1660181
20-Feb-15,73.74,74.03,73.03,73.99,3342593
19-Feb-15,74.35,74.57,73.50,73.79,3625165
18-Feb-15,73.00,74.70,73.00,74.67,2974519
17-Feb-15,72.85,73.64,72.19,73.18,4605176
13-Feb-15,73.83,73.83,72.12,72.91,4098069
12-Feb-15,74.27,74.60,73.37,73.72,5422054
11-Feb-15,76.21,76.49,74.00,74.12,4041042
10-Feb-15,75.23,76.86,75.22,76.66,4019865
9-Feb-15,75.72,78.15,74.71,75.23,4549670
6-Feb-15,78.19,78.31,75.03,75.71,3980900
5-Feb-15,78.03,78.82,77.31,78.69,1779713
4-Feb-15,78.16,78.85,77.38,77.63,2138263
3-Feb-15,77.65,78.88,77.12,78.58,3045720
2-Feb-15,77.18,78.04,76.44,77.72,2560770
30-Jan-15,78.82,78.85,76.82,76.89,2939736
29-Jan-15,77.95,79.27,77.35,79.14,1887332
