Date,Open,High,Low,Close,Volume
12-Jun-15,69.45,69.83,68.79,69.12,2743045
11-Jun-15,69.66,70.22,69.66,69.76,2529779
10-Jun-15,69.20,70.11,69.19,69.69,2914564
9-Jun-15,69.52,69.96,69.18,69.21,4084721
8-Jun-15,69.00,69.62,68.85,69.41,3389366
5-Jun-15,69.69,69.79,69.03,69.07,4632007
4-Jun-15,70.71,70.93,69.55,69.69,5638917
3-Jun-15,71.70,71.78,71.21,71.27,5233171
2-Jun-15,71.51,71.78,70.87,71.27,12518411
1-Jun-15,71.38,71.90,70.91,71.64,3874246
29-May-15,71.24,71.48,70.88,71.01,5545320
28-May-15,70.50,71.50,70.50,71.44,3502286
27-May-15,70.72,71.18,70.53,70.78,4002068
26-May-15,70.71,70.88,70.11,70.75,4129812
22-May-15,70.91,71.11,70.64,70.79,2585628
21-May-15,70.62,71.10,70.43,70.98,3875290
20-May-15,71.44,71.44,70.50,70.66,4524095
19-May-15,70.18,71.38,70.14,71.25,5544144
18-May-15,70.30,70.42,69.92,69.99,5366890
15-May-15,69.82,70.75,69.67,70.25,9787932
14-May-15,70.00,70.81,69.55,69.67,15242401
13-May-15,69.87,70.75,69.28,69.33,33854903
12-May-15,74.84,75.13,74.23,74.85,6061085
11-May-15,75.05,75.52,74.82,75.40,5846953
8-May-15,74.25,75.36,74.15,75.28,6558275
7-May-15,72.50,73.43,72.28,73.33,3655369
6-May-15,73.34,73.81,72.27,72.72,3778788
5-May-15,73.62,74.11,72.36,72.79,3671135
4-May-15,74.30,74.60,73.94,74.03,2735952
1-May-15,73.97,74.48,73.82,74.04,3082232
30-Apr-15,74.08,74.25,72.96,73.20,3519121
29-Apr-15,74.39,74.74,73.99,74.18,4703408
28-Apr-15,75.36,75.80,74.70,74.82,6174094
27-Apr-15,71.82,75.53,71.70,74.81,12615069
24-Apr-15,71.31,71.54,70.83,71.52,3761310
23-Apr-15,71.48,71.57,70.76,70.79,4715023
22-Apr-15,70.65,71.56,69.73,71.44,5711211
21-Apr-15,72.30,72.83,70.42,70.69,7741928
20-Apr-15,71.96,72.88,71.94,72.84,6273547
17-Apr-15,71.60,71.95,71.23,71.55,4008824
16-Apr-15,71.89,72.68,71.60,72.25,3286736
15-Apr-15,72.28,72.75,72.01,72.10,3380928
14-Apr-15,72.00,72.44,71.63,72.26,1994282
13-Apr-15,72.23,72.58,71.86,71.96,2468014
10-Apr-15,72.00,72.25,71.67,72.23,2281890
9-Apr-15,71.83,72.42,71.65,71.93,2222174
