Date,Open,High,Low,Close,Volume
12-Jun-15,110.33,110.53,109.54,109.95,4009859
11-Jun-15,110.01,110.96,110.01,110.62,5036279
10-Jun-15,108.90,110.25,108.73,110.00,5128742
9-Jun-15,109.35,109.41,107.65,108.52,7711756
8-Jun-15,110.03,110.24,109.21,109.29,6068142
5-Jun-15,110.30,110.77,109.80,110.30,4323537
4-Jun-15,110.95,111.25,109.99,110.30,5748198
3-Jun-15,111.28,111.82,110.50,111.17,4510344
2-Jun-15,110.92,111.25,110.02,110.75,4425947
1-Jun-15,111.48,111.77,110.55,110.96,6778890
29-May-15,110.33,110.52,109.41,110.37,5264878
28-May-15,110.11,110.54,109.60,110.53,3391980
27-May-15,109.51,110.61,109.30,110.37,3984196
26-May-15,110.17,110.85,108.76,109.44,5970756
22-May-15,110.30,110.90,110.12,110.26,4267697
21-May-15,110.04,110.64,109.90,110.39,4880577
20-May-15,110.78,110.81,110.02,110.20,4393474
19-May-15,110.69,110.99,110.47,110.56,4549640
18-May-15,110.47,110.74,110.01,110.33,4868918
15-May-15,110.10,110.69,109.68,110.30,5852173
14-May-15,109.69,110.00,109.01,109.93,4662043
13-May-15,109.70,109.87,108.78,109.19,4141357
12-May-15,108.28,109.66,107.67,109.24,6345037
11-May-15,110.14,110.14,108.49,108.60,6728542
8-May-15,110.26,110.70,109.57,110.11,6260611
7-May-15,109.60,109.78,108.72,109.26,8291198
6-May-15,111.56,111.96,109.22,109.72,8975283
5-May-15,113.27,113.30,110.56,110.81,14619307
4-May-15,111.48,111.53,110.50,111.03,7566209
1-May-15,109.95,110.67,109.27,110.52,6205116
30-Apr-15,109.68,110.19,107.68,108.72,7770301
29-Apr-15,109.66,110.38,109.26,109.81,6024741
28-Apr-15,110.75,111.15,108.89,109.92,7324498
27-Apr-15,111.50,111.66,110.07,110.16,8479080
24-Apr-15,109.53,110.48,109.19,109.53,6355616
23-Apr-15,107.96,109.90,107.61,109.00,5983755
22-Apr-15,108.02,108.25,106.97,107.94,4060485
21-Apr-15,108.93,108.99,107.58,107.68,4579838
20-Apr-15,107.83,108.50,107.32,108.22,8094174
17-Apr-15,107.80,107.80,106.04,106.69,9663490
16-Apr-15,107.15,108.30,106.90,108.10,6379102
15-Apr-15,106.92,107.43,106.86,106.98,4307798
14-Apr-15,106.41,107.30,106.11,106.66,5389283
13-Apr-15,107.07,107.90,106.47,106.51,4201467
10-Apr-15,106.73,107.10,106.41,106.95,3251487
9-Apr-15,106.51,107.00,105.88,106.77,3924416
8-Apr-15,105.23,106.69,105.16,106.36,4277383
7-Apr-15,105.80,106.41,105.40,105.43,4694555
6-Apr-15,105.31,106.57,105.04,105.63,4154218
2-Apr-15,105.49,106.24,104.86,106.00,3651641
1-Apr-15,105.43,106.00,104.25,105.44,6117195
31-Mar-15,105.60,106.32,104.89,104.89,5701609
30-Mar-15,106.06,106.94,106.05,106.12,3831883
27-Mar-15,105.20,106.45,104.88,105.48,5330425
26-Mar-15,104.47,105.82,104.10,105.24,5915844
