Date,Open,High,Low,Close,Volume
12-Jun-15,52.08,52.14,51.61,51.84,4533830
11-Jun-15,52.07,52.44,51.90,52.16,5082140
10-Jun-15,51.90,52.28,51.86,51.99,9566663
9-Jun-15,51.56,51.87,51.34,51.52,4724899
8-Jun-15,52.10,52.10,51.32,51.40,7461293
5-Jun-15,52.65,52.82,51.94,52.07,8140032
4-Jun-15,52.60,53.39,51.70,53.05,21244853
3-Jun-15,52.73,53.38,52.61,53.01,7066853
2-Jun-15,51.90,52.71,51.84,52.65,7176552
1-Jun-15,52.07,52.34,51.48,52.26,9787523
29-May-15,51.59,52.23,51.26,52.07,10730277
28-May-15,51.21,51.64,51.01,51.57,5238325
27-May-15,50.60,51.29,50.49,51.20,9464548
26-May-15,50.98,51.20,50.27,50.62,6550826
22-May-15,51.16,51.41,50.96,51.29,2953922
21-May-15,51.07,51.64,50.86,51.38,4257675
20-May-15,50.86,51.42,50.72,51.04,5270325
19-May-15,50.93,51.00,50.45,50.73,6195186
18-May-15,51.51,51.59,50.98,51.00,4743904
15-May-15,51.15,51.52,50.77,51.51,4100354
14-May-15,51.11,51.38,50.94,51.24,5055815
13-May-15,50.96,51.15,50.54,50.73,5904219
12-May-15,51.52,51.59,50.85,50.95,6562308
11-May-15,51.82,51.98,51.44,51.90,8655278
8-May-15,51.21,51.94,51.21,51.85,8130433
7-May-15,50.68,50.77,50.30,50.64,5799618
6-May-15,51.73,51.91,50.54,50.88,8730837
5-May-15,51.85,52.35,51.19,51.35,7014641
4-May-15,51.84,51.95,51.60,51.65,4087815
1-May-15,51.26,51.82,51.17,51.69,6372772
30-Apr-15,51.54,51.67,50.88,51.00,7070125
29-Apr-15,51.29,51.92,51.13,51.61,7482006
28-Apr-15,51.31,51.84,50.76,51.82,8000007
27-Apr-15,51.40,51.90,51.20,51.47,7514576
24-Apr-15,51.15,51.43,50.69,51.12,7532614
23-Apr-15,50.85,51.40,50.11,51.00,12444975
22-Apr-15,49.50,50.26,49.21,50.02,9816859
21-Apr-15,50.09,50.18,49.22,49.65,7849789
20-Apr-15,49.90,50.20,49.70,50.09,8494193
17-Apr-15,49.62,49.91,49.33,49.66,6087755
16-Apr-15,49.89,50.09,49.32,49.75,8359621
15-Apr-15,48.99,50.43,48.99,50.11,14215975
14-Apr-15,48.41,48.99,48.35,48.83,5312012
13-Apr-15,48.56,48.58,48.19,48.27,5363625
10-Apr-15,48.79,48.99,48.35,48.39,6918763
9-Apr-15,48.37,49.12,48.37,48.74,6167978
8-Apr-15,48.52,48.84,48.21,48.37,5596331
7-Apr-15,48.58,49.10,48.44,48.52,8280080
6-Apr-15,48.22,49.22,48.01,48.68,7493592
2-Apr-15,47.61,48.39,47.53,48.24,6064881
1-Apr-15,48.03,48.10,47.21,47.90,6856382
31-Mar-15,48.66,48.66,47.86,47.98,8167934
30-Mar-15,49.00,49.25,48.51,48.68,11279684
27-Mar-15,48.41,48.84,47.73,47.76,19924594
26-Mar-15,46.73,47.33,46.62,46.86,7526090
25-Mar-15,47.49,47.74,46.82,46.83,7082676
24-Mar-15,47.10,47.46,46.74,47.21,5641641
23-Mar-15,47.27,47.50,47.10,47.23,5442400
20-Mar-15,46.76,47.58,46.56,47.29,12337454
19-Mar-15,47.07,47.18,46.50,46.73,6600532
18-Mar-15,46.29,48.04,45.93,47.54,8784543
17-Mar-15,46.75,46.85,46.25,46.63,6361456
16-Mar-15,47.00,47.09,46.38,47.03,7606906
13-Mar-15,47.15,47.22,46.72,47.05,6903743
12-Mar-15,47.03,47.64,46.88,47.46,7355663
11-Mar-15,47.09,47.42,46.70,46.78,7308169
10-Mar-15,47.37,47.65,46.85,47.11,9115150
9-Mar-15,48.05,48.38,47.84,47.93,9569436
6-Mar-15,49.41,49.41,47.76,47.94,12678252
5-Mar-15,49.79,49.87,48.71,48.89,7875885
4-Mar-15,49.11,50.13,48.85,49.57,10630391
3-Mar-15,49.13,49.49,48.92,49.25,4908911
2-Mar-15,49.14,49.45,48.90,49.35,5748478
27-Feb-15,49.24,49.66,49.10,49.24,6661683
26-Feb-15,49.60,49.85,49.04,49.25,7216578
25-Feb-15,49.85,50.14,49.58,49.85,5132177
24-Feb-15,49.70,50.22,49.60,49.81,12414819
23-Feb-15,49.20,49.72,49.11,49.49,7759488
20-Feb-15,49.56,49.81,48.96,49.53,6068723
19-Feb-15,48.91,49.88,48.70,49.68,7609860
18-Feb-15,49.12,49.70,48.98,49.41,6104696
17-Feb-15,48.51,49.75,48.51,49.57,9006617
13-Feb-15,49.06,49.81,48.95,49.44,8249545
12-Feb-15,48.55,49.46,48.39,49.15,7004354
11-Feb-15,48.21,48.40,47.77,48.08,6281560
10-Feb-15,48.50,48.63,47.97,48.50,6266870
9-Feb-15,48.21,48.87,48.20,48.26,9200926
6-Feb-15,48.02,48.50,47.85,48.40,8661625
5-Feb-15,46.59,48.02,46.47,47.80,15836386
4-Feb-15,46.53,46.66,46.00,46.22,6620269
3-Feb-15,45.88,47.05,45.77,46.89,10549274
2-Feb-15,45.32,45.67,44.42,45.22,7874912
30-Jan-15,44.48,45.72,44.14,45.16,12216116
29-Jan-15,44.07,45.34,43.11,45.01,17682822
28-Jan-15,44.24,44.47,42.91,43.03,11385574
27-Jan-15,43.80,44.65,43.31,44.17,7023798
26-Jan-15,44.43,44.59,43.92,44.56,11887947
23-Jan-15,45.15,45.33,44.56,44.57,7287887
22-Jan-15,44.98,45.47,44.39,45.36,6231273
21-Jan-15,43.95,44.78,43.65,44.74,7001715
20-Jan-15,45.00,45.03,43.68,44.13,8796714
16-Jan-15,43.26,44.83,43.25,44.79,9936330
15-Jan-15,43.80,44.26,43.26,43.31,7716310
14-Jan-15,43.00,43.74,41.95,43.43,12861379
13-Jan-15,44.52,44.79,43.11,43.61,10737376
12-Jan-15,44.38,44.50,43.31,44.15,8210124
9-Jan-15,44.83,45.00,44.00,44.41,6431655
8-Jan-15,44.12,44.86,43.85,44.48,12182030
7-Jan-15,44.05,44.15,43.24,43.40,9132470
6-Jan-15,44.22,44.30,42.98,43.47,11534815
5-Jan-15,45.14,45.24,43.96,44.18,12123306
2-Jan-15,45.69,46.04,45.28,45.59,6091119
31-Dec-14,46.07,46.09,45.53,45.61,5929669
30-Dec-14,45.85,46.19,45.61,46.07,4451534
29-Dec-14,46.06,46.40,45.90,46.00,5819699
26-Dec-14,46.18,46.75,46.00,46.48,6336635
24-Dec-14,45.95,46.16,45.75,46.01,3428029
23-Dec-14,45.80,46.18,45.67,45.98,7056980
22-Dec-14,46.04,46.20,45.20,45.77,8695303
19-Dec-14,45.47,46.10,45.47,45.84,12648908
18-Dec-14,45.95,46.30,44.64,45.48,12511854
17-Dec-14,43.00,44.93,42.85,44.55,17215958
16-Dec-14,43.12,44.73,42.57,42.71,16256657
15-Dec-14,43.61,43.78,42.85,43.45,15666530
12-Dec-14,45.70,45.72,43.10,43.35,22908809
11-Dec-14,46.81,46.89,45.84,46.01,8420414
10-Dec-14,47.64,47.71,45.92,46.34,14102882
9-Dec-14,47.72,48.24,46.92,48.18,10943275
8-Dec-14,50.07,50.23,48.12,48.38,12484380
5-Dec-14,50.04,50.78,49.96,50.16,8608569
4-Dec-14,49.07,49.90,49.04,49.77,5086243
3-Dec-14,48.83,49.67,48.74,49.42,8070463
2-Dec-14,48.14,49.00,48.10,48.81,9236682
1-Dec-14,48.35,48.98,47.36,48.12,12783599
28-Nov-14,50.18,50.25,48.48,48.67,13310511
26-Nov-14,51.39,51.79,50.94,51.76,5729990
25-Nov-14,52.36,52.48,51.39,51.39,7953751
24-Nov-14,52.49,52.80,52.10,52.26,10190598
21-Nov-14,53.28,53.80,52.31,52.84,14188311
20-Nov-14,51.00,51.55,50.63,51.48,6442816
19-Nov-14,52.11,52.40,51.29,51.48,7495463
18-Nov-14,51.09,52.18,50.93,52.07,13732768
17-Nov-14,51.39,51.44,50.75,51.12,5915957
14-Nov-14,50.54,51.51,50.26,51.37,14319605
13-Nov-14,50.38,51.35,49.16,49.96,16645308
