Date,Open,High,Low,Close,Volume
12-Jun-15,72.38,73.03,72.34,72.53,3788106
11-Jun-15,72.58,73.17,72.56,72.86,3427299
10-Jun-15,72.58,73.00,72.01,72.05,3512861
9-Jun-15,72.37,72.93,72.08,72.13,3618201
8-Jun-15,72.68,72.85,72.26,72.45,4761717
5-Jun-15,73.50,73.80,72.85,72.85,5564669
4-Jun-15,74.00,74.69,73.96,74.21,4544724
3-Jun-15,75.00,75.39,73.53,74.20,5564951
2-Jun-15,75.63,75.63,74.71,75.05,5105515
1-Jun-15,76.26,76.36,75.69,76.00,4027039
29-May-15,76.16,76.26,75.58,75.73,3115900
28-May-15,76.19,76.30,75.75,75.95,3167206
27-May-15,76.00,76.40,75.83,76.21,2789152
26-May-15,76.03,76.14,75.30,75.76,2851577
22-May-15,76.00,76.27,75.72,76.05,2150770
21-May-15,76.57,76.64,76.02,76.16,3192720
20-May-15,76.20,76.98,76.15,76.54,3395439
19-May-15,75.59,76.35,75.56,76.19,2803842
18-May-15,75.94,76.27,75.64,76.03,3076906
15-May-15,75.73,76.55,75.73,76.15,3333777
14-May-15,74.35,75.80,74.22,75.49,5111580
13-May-15,75.73,75.99,74.04,74.44,4505798
12-May-15,76.15,76.58,75.55,76.30,4114957
11-May-15,77.00,77.73,76.43,76.57,2892226
8-May-15,77.65,78.13,76.76,77.11,3378547
7-May-15,76.40,77.11,76.40,76.81,3601866
6-May-15,76.18,76.69,75.74,76.41,4844856
5-May-15,77.61,77.84,76.21,76.25,3820637
4-May-15,77.90,78.85,77.68,77.96,2745898
1-May-15,77.71,78.13,76.87,77.90,2861357
30-Apr-15,78.42,78.42,76.96,77.57,4305736
29-Apr-15,78.24,78.64,77.78,78.43,3873230
28-Apr-15,78.04,78.99,77.86,78.97,2626049
27-Apr-15,79.60,79.73,78.18,78.37,2860945
24-Apr-15,78.82,79.88,78.75,79.41,2599725
23-Apr-15,78.17,79.26,78.14,78.86,2429357
22-Apr-15,78.50,78.71,77.87,78.30,2466764
21-Apr-15,78.63,79.39,77.67,78.07,3311955
20-Apr-15,77.64,79.15,77.51,78.61,2624869
17-Apr-15,76.99,77.74,76.81,77.31,2924460
16-Apr-15,77.85,77.99,76.74,77.31,2903671
15-Apr-15,77.72,78.57,77.58,78.02,2671833
14-Apr-15,77.38,77.96,77.17,77.59,2260172
13-Apr-15,77.59,77.94,77.14,77.23,2265549
10-Apr-15,77.20,78.21,77.17,77.84,2191314
9-Apr-15,77.12,77.20,76.53,77.01,2051706
8-Apr-15,77.50,77.62,76.70,77.30,3168211
7-Apr-15,78.13,78.46,77.44,77.65,3691515
6-Apr-15,77.44,78.73,77.27,78.24,5268220
2-Apr-15,76.80,77.28,76.46,76.97,2505537
1-Apr-15,76.94,77.39,76.16,76.83,3388362
31-Mar-15,75.84,76.85,75.50,76.78,6030811
30-Mar-15,75.41,76.18,75.09,75.90,3353524
27-Mar-15,74.66,75.19,74.30,75.00,3182672
26-Mar-15,74.85,75.18,73.63,74.35,4173759
25-Mar-15,76.31,76.75,74.82,74.96,2984249
24-Mar-15,76.68,77.27,75.71,76.06,2642266
23-Mar-15,76.68,76.99,76.44,76.80,3073452
20-Mar-15,76.11,76.75,75.86,76.67,7064822
19-Mar-15,76.18,77.14,75.80,76.01,4431245
18-Mar-15,75.07,76.81,74.79,76.40,5754443
17-Mar-15,75.36,75.89,74.82,75.08,2565928
16-Mar-15,75.19,76.32,75.15,75.71,3235727
13-Mar-15,75.24,75.24,73.98,74.61,3089993
12-Mar-15,74.65,75.46,74.57,75.28,3497390
11-Mar-15,75.06,75.23,74.04,74.28,4941034
10-Mar-15,74.20,75.45,73.98,74.70,5272060
9-Mar-15,75.00,75.48,74.75,74.76,3301321
6-Mar-15,76.56,76.56,74.55,74.96,6385656
5-Mar-15,77.29,77.89,77.17,77.58,2562930
4-Mar-15,77.12,77.30,76.57,77.08,2773214
3-Mar-15,77.06,77.51,76.61,77.51,3688330
2-Mar-15,78.48,78.48,76.39,77.06,5027753
27-Feb-15,78.49,78.87,78.03,78.55,2474492
26-Feb-15,79.27,79.36,78.50,78.56,2549315
25-Feb-15,79.95,79.96,78.75,79.01,3250746
24-Feb-15,79.08,80.18,78.76,79.85,3771712
23-Feb-15,78.86,79.61,78.41,79.26,3944043
20-Feb-15,79.14,79.61,77.79,78.71,4419213
19-Feb-15,81.21,81.23,79.12,79.17,5473021
18-Feb-15,79.23,81.42,79.03,80.97,4841294
17-Feb-15,79.44,80.92,78.80,79.39,6286588
13-Feb-15,80.97,80.97,79.21,79.84,4677509
12-Feb-15,81.69,82.05,80.89,81.06,4835932
11-Feb-15,83.09,83.30,81.60,81.85,3368237
10-Feb-15,82.60,84.29,82.39,84.18,4130988
9-Feb-15,83.15,83.61,82.21,82.70,3938100
6-Feb-15,86.07,86.61,82.53,83.11,4356502
5-Feb-15,86.53,86.81,85.77,86.72,2548577
4-Feb-15,86.66,87.18,85.76,85.98,3686308
3-Feb-15,86.90,87.12,86.31,86.78,3980139
2-Feb-15,87.00,87.29,86.11,87.00,3610609
30-Jan-15,88.86,89.39,87.07,87.14,3526400
29-Jan-15,87.86,89.58,87.37,89.36,2850509
28-Jan-15,88.96,89.97,87.66,87.85,3199817
27-Jan-15,88.46,89.26,88.35,88.72,1906951
26-Jan-15,88.63,88.70,87.82,88.55,1750115
23-Jan-15,88.95,89.23,88.61,88.72,1817309
22-Jan-15,88.83,89.29,87.94,88.63,2542242
21-Jan-15,87.50,88.79,86.90,88.68,2834651
20-Jan-15,87.44,87.73,86.73,87.69,3180423
16-Jan-15,86.73,87.39,86.60,87.35,3903880
15-Jan-15,85.89,86.95,85.36,86.76,3890890
14-Jan-15,85.08,85.78,84.65,85.69,3383255
13-Jan-15,85.30,86.78,85.17,85.47,3529652
12-Jan-15,85.20,85.49,84.64,85.01,2300236
9-Jan-15,85.00,85.39,84.22,84.93,2679121
8-Jan-15,84.92,85.28,84.57,84.81,2168194
7-Jan-15,84.26,84.89,83.72,84.47,2583493
6-Jan-15,82.92,84.79,82.92,84.20,5291373
5-Jan-15,83.60,83.91,82.61,82.84,3780536
2-Jan-15,83.54,84.23,83.09,84.05,2269109
31-Dec-14,84.82,85.16,83.50,83.54,2808930
30-Dec-14,86.83,86.83,84.54,84.70,2983936
29-Dec-14,85.75,87.29,85.70,86.83,4072324
26-Dec-14,85.13,86.43,85.12,85.81,2984871
24-Dec-14,83.82,85.22,83.82,84.97,2407396
23-Dec-14,83.77,84.21,83.49,83.68,2022461
22-Dec-14,83.07,83.74,82.84,83.61,2695390
19-Dec-14,83.13,83.60,82.67,82.85,4738097
18-Dec-14,81.38,83.01,81.20,83.01,4349680
17-Dec-14,81.11,81.64,80.36,81.37,3382543
16-Dec-14,81.26,82.03,80.21,80.62,3608262
15-Dec-14,82.69,82.91,81.08,81.14,4398326
12-Dec-14,82.52,83.52,82.36,82.69,3339451
11-Dec-14,82.58,83.51,82.56,82.89,2956575
10-Dec-14,82.17,83.17,82.04,82.25,3942771
9-Dec-14,81.40,82.32,81.18,82.18,3873372
8-Dec-14,80.91,82.10,80.91,81.63,3740311
5-Dec-14,81.49,81.69,80.23,80.73,3577201
4-Dec-14,82.01,82.48,81.77,82.35,2534615
3-Dec-14,82.12,82.46,81.52,81.97,2208003
2-Dec-14,81.84,82.54,81.37,82.34,3174700
1-Dec-14,80.39,82.74,80.16,82.00,5087178
28-Nov-14,80.00,81.59,79.94,80.90,2393251
26-Nov-14,79.31,79.93,79.31,79.69,1990551
25-Nov-14,79.17,79.29,78.51,79.15,4188607
24-Nov-14,80.06,80.22,79.01,79.03,5065185
21-Nov-14,80.70,80.73,79.24,79.77,5247688
20-Nov-14,80.38,80.82,80.08,80.17,2114147
19-Nov-14,80.20,80.68,79.69,80.38,2756427
18-Nov-14,80.45,80.88,79.88,80.31,3762494
17-Nov-14,79.17,80.48,79.09,80.30,2983055
14-Nov-14,78.55,79.51,78.55,79.11,3204594
13-Nov-14,80.04,80.49,78.71,78.99,4119232
