Date,Open,High,Low,Close,Volume
12-Jun-15,27.44,27.48,27.28,27.39,22170553
11-Jun-15,27.57,27.64,27.36,27.51,31388401
10-Jun-15,27.36,27.68,27.32,27.63,33175668
9-Jun-15,27.28,27.47,27.17,27.33,31113885
8-Jun-15,27.32,27.36,27.21,27.24,29812813
5-Jun-15,27.26,27.38,27.16,27.29,30647728
4-Jun-15,27.42,27.62,27.21,27.26,33360470
3-Jun-15,27.43,27.56,27.36,27.53,26306271
2-Jun-15,27.22,27.42,27.15,27.33,26325304
1-Jun-15,27.26,27.34,27.07,27.28,33322427
29-May-15,27.50,27.50,27.27,27.27,41661017
28-May-15,27.50,27.63,27.30,27.63,26418344
27-May-15,27.57,27.62,27.46,27.52,25326776
26-May-15,27.52,27.58,27.38,27.52,47465199
22-May-15,27.69,27.78,27.62,27.68,23289341
21-May-15,27.68,27.79,27.55,27.72,40311149
20-May-15,27.34,27.70,27.20,27.64,40173649
19-May-15,27.27,27.39,27.21,27.35,29150774
18-May-15,27.21,27.39,27.21,27.31,22489480
15-May-15,27.38,27.44,27.25,27.27,35768687
14-May-15,27.32,27.43,27.15,27.41,26976059
13-May-15,27.02,27.24,26.92,27.21,37170407
12-May-15,26.82,27.09,26.75,27.03,29789840
11-May-15,27.25,27.30,26.86,26.92,32453388
8-May-15,27.25,27.49,27.22,27.36,37221527
7-May-15,26.78,27.12,26.66,27.04,31038239
6-May-15,27.00,27.18,26.61,26.81,27761007
5-May-15,27.25,27.36,26.85,26.92,30347339
4-May-15,27.36,27.61,27.25,27.27,26201685
1-May-15,27.09,27.32,26.99,27.31,28303317
30-Apr-15,27.06,27.35,26.97,27.08,42984977
29-Apr-15,26.95,27.25,26.90,27.09,37153977
28-Apr-15,26.95,27.16,26.64,27.12,38426611
27-Apr-15,26.96,27.00,26.81,26.88,36217680
24-Apr-15,26.88,26.94,26.70,26.80,27713961
23-Apr-15,26.78,27.07,26.71,26.85,38165835
22-Apr-15,26.70,27.02,26.60,26.91,47056120
21-Apr-15,27.03,27.06,26.55,26.62,76872343
20-Apr-15,27.32,27.44,27.01,27.02,61686961
17-Apr-15,27.40,27.70,26.92,27.25,87794530
16-Apr-15,27.31,27.50,27.18,27.28,62363112
15-Apr-15,27.69,27.85,27.43,27.46,56420065
14-Apr-15,27.48,27.84,27.38,27.73,55777197
13-Apr-15,28.06,28.19,27.50,27.63,153984855
10-Apr-15,27.13,28.68,27.00,28.51,352701949
9-Apr-15,25.09,25.83,24.92,25.73,60149914
8-Apr-15,25.05,25.12,24.87,25.01,22439203
7-Apr-15,25.17,25.28,25.00,25.02,21261550
6-Apr-15,24.90,25.41,24.79,25.18,33445096
2-Apr-15,24.81,25.00,24.70,24.94,29213060
1-Apr-15,24.72,24.92,24.57,24.84,38749526
31-Mar-15,25.09,25.09,24.81,24.81,34940926
30-Mar-15,24.98,25.20,24.97,25.12,27281424
27-Mar-15,24.92,24.92,24.71,24.86,28320556
26-Mar-15,24.80,24.92,24.67,24.80,32504429
25-Mar-15,25.23,25.33,24.91,24.91,34897363
24-Mar-15,25.38,25.48,25.27,25.27,25801276
23-Mar-15,25.48,25.74,25.45,25.47,31984480
20-Mar-15,25.34,25.53,25.30,25.40,50632559
19-Mar-15,25.44,25.61,25.26,25.33,38314849
18-Mar-15,25.18,25.85,25.11,25.64,38302821
17-Mar-15,25.30,25.39,25.09,25.31,34259011
16-Mar-15,25.06,25.48,24.96,25.45,34610433
13-Mar-15,25.28,25.36,24.81,25.04,45306958
12-Mar-15,25.27,25.41,25.17,25.40,29369497
11-Mar-15,25.28,25.49,25.14,25.19,36198081
10-Mar-15,25.50,25.64,25.17,25.17,37442079
9-Mar-15,25.52,25.70,25.49,25.64,31591142
6-Mar-15,25.71,25.78,25.33,25.42,32286776
5-Mar-15,25.62,25.82,25.58,25.82,28373771
4-Mar-15,25.76,25.77,25.47,25.66,31543763
3-Mar-15,26.05,26.08,25.78,25.86,30542279
2-Mar-15,25.88,26.12,25.85,26.11,32408985
27-Feb-15,25.83,26.27,25.75,25.99,51531829
26-Feb-15,25.94,26.01,25.81,25.89,38247190
25-Feb-15,25.45,26.06,25.44,25.91,68219592
24-Feb-15,25.12,25.45,25.09,25.39,42464097
23-Feb-15,25.22,25.30,25.10,25.17,30774507
20-Feb-15,24.88,25.22,24.80,25.21,39889843
19-Feb-15,25.03,25.21,24.95,25.01,33232937
