Date,Open,High,Low,Close,Volume
12-Jun-15,118.59,118.75,116.76,117.66,9266013
11-Jun-15,118.08,119.70,117.90,119.13,14474682
10-Jun-15,115.02,117.93,114.81,117.67,11985988
9-Jun-15,113.22,115.30,113.15,114.75,9566695
8-Jun-15,113.96,114.77,113.53,113.70,10742939
5-Jun-15,113.82,114.28,112.52,113.96,8435729
4-Jun-15,113.90,114.58,113.26,113.93,8637605
3-Jun-15,114.27,114.93,113.87,114.65,7413390
2-Jun-15,113.85,114.20,113.14,113.94,10189763
1-Jun-15,113.17,114.76,112.65,114.08,11417627
29-May-15,113.15,113.37,111.85,112.27,11343475
28-May-15,112.01,113.43,111.82,112.85,8252431
27-May-15,110.34,112.60,109.98,112.46,11721958
26-May-15,111.49,111.53,109.54,109.77,16006879
22-May-15,110.70,112.66,110.70,111.71,12079030
21-May-15,109.90,111.47,109.81,111.22,8373958
20-May-15,110.09,110.91,108.15,110.17,10335088
19-May-15,111.12,111.55,110.05,110.56,8676903
18-May-15,109.59,111.33,109.36,111.00,13715956
15-May-15,109.05,110.24,108.29,109.30,13419602
14-May-15,107.27,108.85,106.66,108.74,12761282
13-May-15,105.97,107.43,105.95,106.39,10814520
12-May-15,104.21,106.15,103.45,105.56,9552606
11-May-15,104.19,105.36,104.00,104.73,9956111
8-May-15,103.00,103.96,102.88,103.85,9651735
7-May-15,102.17,102.35,99.66,101.79,13878333
6-May-15,103.45,103.83,101.52,102.27,10065240
5-May-15,105.30,105.73,102.73,102.99,15046458
4-May-15,105.65,107.50,105.22,105.66,13215612
1-May-15,103.20,106.34,102.50,105.01,22306478
30-Apr-15,102.15,102.70,99.80,100.51,14009454
29-Apr-15,103.12,103.90,101.62,102.32,8932245
28-Apr-15,103.12,103.83,101.14,103.72,9793738
27-Apr-15,104.18,104.53,102.01,102.94,10829233
24-Apr-15,104.64,105.68,103.60,103.70,9734440
23-Apr-15,104.64,105.75,104.01,105.20,8071809
22-Apr-15,105.24,105.42,103.83,104.18,8267266
21-Apr-15,101.42,105.71,100.89,105.20,19722658
20-Apr-15,102.28,102.28,100.41,100.66,8752017
17-Apr-15,102.35,102.81,100.61,101.38,9896452
16-Apr-15,103.95,104.72,103.11,103.34,6670359
15-Apr-15,102.39,104.36,102.33,104.03,12899718
14-Apr-15,102.34,102.66,101.47,102.21,7224660
13-Apr-15,102.01,103.82,102.00,102.28,10648428
10-Apr-15,101.75,102.45,101.06,101.77,9257629
9-Apr-15,100.17,101.18,99.92,101.16,9178113
8-Apr-15,98.70,100.90,98.56,99.87,10967054
7-Apr-15,98.28,99.74,98.01,98.69,8264715
6-Apr-15,97.92,98.74,97.19,97.79,9697287
2-Apr-15,97.98,99.50,97.01,98.43,10727280
1-Apr-15,98.16,98.16,95.38,97.72,15134187
