Date,Open,High,Low,Close,Volume
12-Jun-15,98.88,99.23,98.12,98.35,8717217
11-Jun-15,99.20,99.80,98.83,99.24,6175188
10-Jun-15,98.48,99.55,98.20,98.88,10025139
9-Jun-15,98.44,98.54,97.80,98.21,7844315
8-Jun-15,98.60,98.98,97.96,97.96,7054613
5-Jun-15,98.99,99.05,98.20,98.59,7557268
4-Jun-15,99.94,100.47,99.06,99.23,8057860
3-Jun-15,100.32,100.43,99.84,100.09,5375153
2-Jun-15,99.92,100.24,99.10,99.98,8312446
1-Jun-15,100.28,100.60,99.72,100.04,7298085
29-May-15,101.55,101.62,99.83,100.14,9957798
28-May-15,101.01,101.70,100.81,101.15,5700051
27-May-15,101.01,101.41,100.80,101.13,9297934
26-May-15,101.23,101.55,100.58,100.82,7918872
22-May-15,102.27,102.41,101.33,101.35,6216965
21-May-15,102.91,103.30,102.34,102.42,6875627
20-May-15,104.42,104.48,103.31,103.60,7146547
19-May-15,103.66,104.12,103.25,103.96,7724081
18-May-15,102.37,104.34,102.32,103.42,10479584
15-May-15,101.98,102.32,101.67,102.30,6023543
14-May-15,100.97,101.87,100.95,101.83,5454009
13-May-15,100.68,101.13,100.47,100.55,5826750
12-May-15,100.88,101.05,100.28,100.47,6903070
11-May-15,101.32,101.66,101.01,101.03,5698884
8-May-15,100.48,101.67,100.44,101.47,7508622
7-May-15,98.94,100.00,98.91,99.66,6401552
6-May-15,99.62,99.87,98.66,99.17,8030769
5-May-15,100.13,100.29,99.29,99.50,8828129
4-May-15,100.33,100.55,100.16,100.35,5532387
1-May-15,99.62,100.39,99.62,100.13,6255973
30-Apr-15,100.07,100.15,98.77,99.20,10170628
29-Apr-15,100.51,100.61,99.90,100.39,8926249
28-Apr-15,100.45,100.95,99.31,100.74,7484612
27-Apr-15,101.16,101.60,100.47,100.58,9113861
24-Apr-15,100.11,101.53,100.00,101.08,6566915
23-Apr-15,100.50,100.82,99.91,100.46,7351494
22-Apr-15,100.63,100.80,99.96,100.43,4764283
21-Apr-15,100.66,100.99,100.16,100.30,6532698
20-Apr-15,100.26,100.88,100.05,100.21,6668541
17-Apr-15,99.37,99.85,99.11,99.58,11084248
16-Apr-15,100.27,100.32,99.77,99.79,7324783
15-Apr-15,100.54,101.24,100.33,100.60,8237103
14-Apr-15,101.05,101.46,100.18,100.52,9322175
13-Apr-15,101.54,101.98,100.55,100.55,10753497
10-Apr-15,101.33,102.14,100.93,102.06,6786456
9-Apr-15,100.57,101.65,100.33,101.33,8073887
8-Apr-15,99.84,100.45,99.60,100.16,7354110
7-Apr-15,99.55,100.87,99.43,100.10,7900303
6-Apr-15,98.84,99.56,98.04,99.16,9697623
2-Apr-15,99.44,99.99,98.89,99.64,6097146
1-Apr-15,100.46,100.46,98.61,99.15,11368126
31-Mar-15,100.97,101.49,100.59,100.60,8027954
30-Mar-15,101.24,101.86,100.76,101.55,6061170
