Date,Open,High,Low,Close,Volume
12-Jun-15,159.85,159.99,157.88,158.04,1910513
11-Jun-15,159.12,160.36,159.00,159.86,1854228
10-Jun-15,156.95,159.57,156.95,159.04,1758925
9-Jun-15,156.85,158.26,156.60,156.98,1810752
8-Jun-15,156.50,157.41,156.30,156.59,1608614
5-Jun-15,157.50,157.97,156.97,157.08,2314771
4-Jun-15,159.51,160.38,158.09,158.35,2237628
3-Jun-15,159.61,160.50,158.98,160.16,2074495
2-Jun-15,158.28,159.88,157.95,159.08,2481192
1-Jun-15,159.10,159.76,158.57,158.98,1906559
29-May-15,160.44,160.79,158.74,159.08,2880519
28-May-15,160.35,160.89,159.61,160.87,1578079
27-May-15,159.82,161.31,159.53,161.02,2625930
26-May-15,160.98,161.32,159.04,159.59,2471109
22-May-15,161.99,162.33,160.66,160.98,1822803
21-May-15,161.90,162.35,161.80,162.06,2401909
20-May-15,162.42,163.07,161.84,161.90,1978568
19-May-15,163.07,163.59,162.55,163.12,2076094
18-May-15,163.00,163.59,162.31,162.87,1748384
15-May-15,163.15,163.77,162.65,163.30,1923774
14-May-15,162.09,163.30,161.80,163.15,2462549
13-May-15,160.43,161.74,160.36,161.31,2587859
12-May-15,158.71,160.40,158.01,160.07,1864809
11-May-15,160.26,161.00,159.80,159.90,1708711
8-May-15,160.25,161.40,160.06,160.60,2025537
7-May-15,157.23,159.20,157.23,158.61,2112923
6-May-15,157.92,159.08,156.55,157.64,2203122
5-May-15,158.86,159.45,157.41,157.91,1947744
4-May-15,158.40,159.85,157.88,159.02,2240314
1-May-15,156.79,158.09,156.79,157.68,2160149
30-Apr-15,156.82,157.92,156.01,156.39,3510160
29-Apr-15,157.42,157.93,156.18,156.97,3078628
28-Apr-15,157.69,158.36,156.18,158.33,3387920
27-Apr-15,159.48,160.06,157.81,157.98,3448760
24-Apr-15,159.81,159.81,157.85,158.99,3043484
23-Apr-15,159.54,161.45,158.61,159.66,5704517
22-Apr-15,163.81,164.89,162.57,164.67,2228828
21-Apr-15,165.65,165.70,163.62,164.00,1970534
20-Apr-15,163.00,165.39,162.73,164.51,2394237
17-Apr-15,164.53,164.54,161.13,161.71,3063509
16-Apr-15,165.73,166.65,165.10,165.89,1662831
15-Apr-15,166.72,167.34,165.86,166.44,1995871
14-Apr-15,165.32,166.48,164.17,165.99,1915188
13-Apr-15,166.76,167.36,165.60,165.84,1860416
10-Apr-15,167.50,167.70,166.22,167.07,1501941
9-Apr-15,166.25,167.18,165.08,166.79,1680624
8-Apr-15,166.21,167.22,165.21,166.27,1754434
7-Apr-15,165.40,167.57,165.28,166.21,2479510
6-Apr-15,161.66,165.99,161.40,165.48,2560334
2-Apr-15,163.38,163.97,162.12,162.80,1852617
1-Apr-15,164.29,164.54,161.90,162.52,2148057
31-Mar-15,165.41,166.00,164.62,164.95,2081259
30-Mar-15,164.20,166.77,164.20,166.05,1684009
27-Mar-15,162.36,163.90,162.02,163.50,1722661
26-Mar-15,162.00,163.37,161.21,162.59,2050735
25-Mar-15,166.24,166.52,162.66,162.70,2540852
24-Mar-15,165.58,167.65,165.53,166.32,2090967
23-Mar-15,166.83,166.90,165.83,166.13,2157318
20-Mar-15,166.09,167.13,165.39,166.49,4371778
19-Mar-15,166.16,166.21,164.85,165.66,1953456
18-Mar-15,163.16,166.95,162.05,166.47,3062438
17-Mar-15,165.52,165.53,163.38,164.23,2557898
16-Mar-15,163.58,166.27,163.58,166.21,2111173
13-Mar-15,164.02,164.39,161.78,162.74,2284740
12-Mar-15,162.59,164.52,162.57,164.47,1715011
11-Mar-15,162.70,163.22,161.66,161.73,1894304
10-Mar-15,164.81,164.86,162.25,162.26,2564593
9-Mar-15,164.72,166.78,164.51,166.37,1608060
6-Mar-15,166.50,166.77,164.01,164.36,2114438
5-Mar-15,167.21,167.70,166.69,167.57,1547152
4-Mar-15,168.26,168.26,166.46,167.16,1575686
3-Mar-15,169.57,169.60,167.36,168.27,2232425
2-Mar-15,168.16,170.50,168.12,170.50,2223104
27-Feb-15,169.66,169.75,168.56,168.65,1946016
26-Feb-15,168.85,169.98,168.64,169.61,1789370
25-Feb-15,168.97,169.66,168.62,168.89,2019149
24-Feb-15,168.27,169.25,168.07,169.12,1770282
23-Feb-15,168.14,168.87,167.70,168.81,1835977
20-Feb-15,166.74,168.27,165.13,168.12,2416631
19-Feb-15,167.40,167.55,166.58,167.09,1648814
18-Feb-15,166.34,167.51,166.01,167.40,1552002
17-Feb-15,165.94,166.92,165.09,166.92,2100869
13-Feb-15,165.90,166.62,165.33,165.94,1792069
12-Feb-15,164.93,165.95,164.85,165.91,1615661
11-Feb-15,164.52,164.97,163.47,164.48,1695064
10-Feb-15,165.40,166.14,164.60,165.82,1885097
9-Feb-15,164.38,165.54,163.84,164.84,2072981
6-Feb-15,166.23,167.68,165.56,166.07,1826929
5-Feb-15,165.31,166.59,164.75,166.55,2050539
4-Feb-15,165.78,165.83,164.24,164.81,2363803
3-Feb-15,165.17,166.19,164.71,165.94,2604773
2-Feb-15,162.12,164.62,160.89,164.42,2379692
30-Jan-15,164.75,165.22,162.30,162.30,3561892
29-Jan-15,164.07,166.16,162.88,166.13,2674618
28-Jan-15,164.61,166.57,163.76,163.94,3574594
27-Jan-15,162.31,165.14,160.94,163.63,4190749
26-Jan-15,163.62,164.28,161.80,164.24,3556293
23-Jan-15,165.75,165.98,163.91,164.02,2249181
22-Jan-15,163.26,165.99,162.13,165.89,2225819
21-Jan-15,161.66,163.37,161.02,162.54,1597680
20-Jan-15,162.72,163.40,160.06,161.94,2096201
16-Jan-15,159.86,162.18,159.09,162.00,2349676
15-Jan-15,160.89,161.44,159.37,159.66,1881406
14-Jan-15,159.04,160.53,158.50,159.84,1983535
13-Jan-15,162.23,164.38,159.45,160.62,2706698
12-Jan-15,162.39,162.39,160.02,160.74,2149230
9-Jan-15,163.85,164.00,161.27,161.62,2378568
8-Jan-15,160.65,163.69,160.52,163.63,3149592
7-Jan-15,159.90,160.28,158.94,159.80,3081291
6-Jan-15,160.82,161.37,157.74,158.65,3537144
5-Jan-15,163.00,163.64,160.08,160.36,3692901
2-Jan-15,164.71,165.08,162.73,164.06,2117562
31-Dec-14,166.00,167.17,164.20,164.32,1631764
30-Dec-14,166.55,166.74,165.28,165.84,1180680
29-Dec-14,166.30,167.12,165.81,166.71,1218833
26-Dec-14,167.34,167.81,166.15,166.26,1607376
24-Dec-14,166.17,167.61,166.17,166.96,981961
23-Dec-14,168.02,168.16,166.87,166.87,2190217
22-Dec-14,166.22,167.30,166.14,167.27,2090886
19-Dec-14,164.78,166.09,164.36,165.48,4891344
18-Dec-14,162.40,165.30,162.00,165.30,3359781
17-Dec-14,159.29,160.89,157.78,160.60,3948875
16-Dec-14,157.26,161.44,157.08,159.05,3383374
15-Dec-14,158.12,158.44,155.59,156.85,2610662
12-Dec-14,158.56,158.99,157.12,157.12,2823193
11-Dec-14,159.18,160.22,158.42,159.15,2437334
10-Dec-14,160.71,160.81,157.70,158.24,3251563
9-Dec-14,159.89,161.10,159.11,160.83,2051810
8-Dec-14,162.10,162.80,160.10,160.93,1905159
5-Dec-14,162.40,162.90,161.88,162.27,1722974
4-Dec-14,162.00,162.92,160.90,162.26,2165107
3-Dec-14,161.10,162.44,160.17,162.26,3040255
2-Dec-14,158.78,160.78,158.54,160.60,2504391
1-Dec-14,158.35,159.50,157.86,158.16,2502120
28-Nov-14,159.58,160.82,158.80,160.09,1565487
26-Nov-14,157.97,158.45,157.50,158.31,1823224
25-Nov-14,159.00,159.68,158.06,158.06,3646343
24-Nov-14,160.16,160.56,159.41,159.88,2358208
21-Nov-14,160.31,160.86,159.59,160.16,2472003
20-Nov-14,158.19,159.55,157.84,159.36,1748983
19-Nov-14,159.33,159.41,157.97,158.83,2314662
18-Nov-14,158.88,160.46,158.85,160.15,2312206
17-Nov-14,158.09,159.16,158.09,158.69,1674303
14-Nov-14,158.53,158.88,157.71,158.85,1786283
13-Nov-14,158.00,159.07,157.48,158.35,2375052
