Date,Open,High,Low,Close,Volume
12-Jun-15,114.91,115.10,113.87,114.12,2871202
11-Jun-15,115.06,115.45,114.21,115.08,1561687
10-Jun-15,114.08,115.13,113.57,114.49,2045907
9-Jun-15,113.56,114.44,112.94,113.54,2940407
8-Jun-15,114.01,114.77,113.51,113.92,2927291
5-Jun-15,113.79,114.43,113.19,113.80,2736938
4-Jun-15,114.23,115.11,113.32,113.58,4157771
3-Jun-15,116.90,117.11,115.50,115.75,2968707
2-Jun-15,116.53,117.03,115.62,116.58,1926770
1-Jun-15,117.37,117.47,115.92,116.61,2563754
29-May-15,119.05,119.09,116.75,116.98,4198597
28-May-15,118.18,120.00,118.18,118.60,2548709
27-May-15,118.19,119.32,118.03,118.56,1855972
26-May-15,119.60,119.62,117.90,117.93,2325840
22-May-15,120.14,121.09,119.77,120.29,2663124
21-May-15,118.83,120.13,118.60,120.00,1920991
20-May-15,119.98,119.98,118.44,118.77,2910225
19-May-15,120.02,120.65,119.31,119.91,2009734
18-May-15,120.91,120.99,120.22,120.32,2925140
15-May-15,120.32,120.90,119.87,120.82,3189003
14-May-15,118.68,120.96,118.59,120.72,3764776
13-May-15,116.47,118.56,115.95,118.25,3596239
12-May-15,116.84,117.83,115.93,116.06,3829245
11-May-15,120.54,120.94,117.65,118.00,4877156
8-May-15,120.12,123.82,118.36,120.79,8032732
7-May-15,116.08,119.31,115.34,119.13,3676908
6-May-15,116.64,117.25,116.02,116.30,1968718
5-May-15,115.96,117.14,115.94,116.65,2340754
4-May-15,116.67,117.85,115.88,115.92,3428289
1-May-15,117.88,118.66,115.84,118.44,8026436
30-Apr-15,114.90,114.97,113.61,113.96,2240245
29-Apr-15,114.52,115.45,114.35,115.00,2947103
28-Apr-15,116.85,116.93,114.95,115.00,3486258
27-Apr-15,118.46,118.86,117.63,117.70,1891960
24-Apr-15,117.48,119.01,117.44,118.46,1820450
23-Apr-15,116.80,117.74,116.42,117.49,1996889
22-Apr-15,116.68,117.28,116.13,116.87,2031035
21-Apr-15,117.30,117.73,116.61,117.28,1627112
20-Apr-15,116.97,117.59,116.72,117.37,2027310
17-Apr-15,118.37,118.64,116.40,116.70,2449273
16-Apr-15,119.07,119.34,118.38,118.93,2098830
15-Apr-15,119.34,119.92,119.07,119.36,1668531
14-Apr-15,119.26,119.44,118.52,119.08,1945522
13-Apr-15,120.53,120.68,119.47,119.49,2659456
10-Apr-15,119.50,120.20,118.81,120.14,3904809
9-Apr-15,117.40,119.51,116.90,119.32,3229933
8-Apr-15,117.99,118.43,116.89,117.14,2885248
7-Apr-15,117.40,118.25,117.15,117.85,2681469
6-Apr-15,115.78,117.77,115.70,117.09,3193546
2-Apr-15,116.72,116.88,115.32,116.30,4169557
1-Apr-15,114.66,117.13,113.62,116.96,7331536
31-Mar-15,112.75,113.43,112.24,112.54,3230968
30-Mar-15,112.95,113.81,112.22,113.38,3890156
27-Mar-15,112.51,113.22,112.04,112.73,2479225
26-Mar-15,112.61,112.61,111.16,112.25,3584705
25-Mar-15,113.73,114.22,112.42,112.43,3307066
24-Mar-15,113.28,114.56,112.96,113.58,4527057
23-Mar-15,114.04,115.26,111.93,113.49,8085724
20-Mar-15,115.81,117.14,115.55,115.75,5198682
19-Mar-15,116.17,116.77,115.20,115.38,3111994
18-Mar-15,116.44,117.83,115.51,117.16,3618804
17-Mar-15,117.06,117.59,116.48,116.84,2548087
16-Mar-15,117.17,118.12,117.14,117.91,2809581
13-Mar-15,117.65,117.88,115.82,116.87,2997775
12-Mar-15,117.39,118.84,116.98,118.44,2239754
11-Mar-15,116.93,117.87,116.87,116.91,2824920
10-Mar-15,117.33,117.57,116.42,117.04,2856929
9-Mar-15,118.14,119.22,118.00,118.38,2110556
