Date,Open,High,Low,Close,Volume
12-Jun-15,58.79,58.80,57.79,57.87,15812329
11-Jun-15,59.20,59.37,58.84,58.91,11640259
10-Jun-15,58.98,59.66,58.91,59.61,10223248
9-Jun-15,58.96,59.29,58.71,58.84,6445186
8-Jun-15,58.89,59.17,58.76,58.87,8047763
5-Jun-15,59.36,59.41,58.80,58.99,10881834
4-Jun-15,59.96,60.21,59.27,59.47,10830276
3-Jun-15,60.66,60.88,60.26,60.39,8662358
2-Jun-15,60.45,60.46,59.82,60.24,8993032
1-Jun-15,60.85,61.70,60.34,60.75,11807388
29-May-15,59.88,61.12,59.47,60.89,20015567
28-May-15,59.45,59.85,59.38,59.70,9530115
27-May-15,59.09,59.78,58.87,59.46,9726731
26-May-15,59.28,59.44,58.85,58.97,10857710
22-May-15,60.07,60.07,59.34,59.38,8990387
21-May-15,60.55,60.78,60.09,60.10,8039016
20-May-15,60.67,60.85,60.44,60.46,6034865
19-May-15,59.96,60.92,59.94,60.52,8128726
18-May-15,60.17,60.45,60.01,60.01,7190826
15-May-15,59.94,60.23,59.81,60.23,7665651
14-May-15,59.47,59.89,59.04,59.78,7127334
13-May-15,59.62,59.85,58.97,59.18,7320884
12-May-15,59.55,59.72,59.11,59.44,13191909
11-May-15,60.66,60.69,59.84,60.00,9718856
8-May-15,61.00,61.38,60.70,60.74,10143412
7-May-15,60.05,60.73,59.93,60.30,9000988
6-May-15,60.45,60.59,59.93,60.26,11570868
5-May-15,60.32,60.70,60.06,60.49,12082488
4-May-15,60.14,60.95,60.03,60.64,9050375
1-May-15,59.76,60.38,59.68,59.86,9357474
30-Apr-15,59.79,60.14,59.24,59.56,13012427
29-Apr-15,59.33,60.43,59.23,59.68,17191995
28-Apr-15,60.22,60.48,59.22,59.98,34731152
27-Apr-15,57.83,58.03,56.88,57.10,10599631
24-Apr-15,57.85,58.19,57.51,57.60,7866496
23-Apr-15,57.52,57.85,57.04,57.51,8342300
22-Apr-15,57.56,57.88,57.32,57.69,7914568
21-Apr-15,58.01,58.03,57.41,57.66,9255533
20-Apr-15,57.50,58.00,57.39,57.61,9961359
17-Apr-15,57.35,57.36,56.57,56.88,11663352
16-Apr-15,58.21,58.39,57.74,57.84,6409437
15-Apr-15,58.07,58.94,58.07,58.45,12108838
14-Apr-15,56.94,57.99,56.61,57.76,14656168
13-Apr-15,57.08,57.36,56.50,56.73,10480941
10-Apr-15,57.05,57.64,56.32,57.25,15507494
9-Apr-15,57.22,57.73,57.11,57.43,12005987
8-Apr-15,57.91,58.05,57.02,57.15,13559688
7-Apr-15,57.66,57.88,57.30,57.43,9278294
6-Apr-15,56.93,57.34,56.71,57.18,12649211
2-Apr-15,57.00,57.45,56.85,57.10,7583525
1-Apr-15,57.26,57.32,56.22,56.86,12712204
31-Mar-15,58.19,58.31,57.48,57.48,10458696
30-Mar-15,58.25,58.54,58.15,58.34,8188953
27-Mar-15,57.83,58.23,57.63,57.75,8523494
26-Mar-15,58.04,58.20,57.41,57.60,10582936
25-Mar-15,59.50,59.71,58.18,58.26,14038379
24-Mar-15,59.41,59.70,58.51,58.63,13065268
23-Mar-15,58.40,59.14,58.04,58.73,10658466
20-Mar-15,58.24,58.86,57.76,58.58,26113962
19-Mar-15,57.43,58.34,57.03,58.21,14455885
18-Mar-15,56.39,57.97,56.21,57.65,14928493
17-Mar-15,56.89,56.89,56.24,56.47,9999391
16-Mar-15,56.58,57.32,56.58,57.12,11520810
13-Mar-15,56.03,56.43,55.64,56.20,13072868
12-Mar-15,55.82,56.22,55.66,56.17,12954263
11-Mar-15,57.49,57.49,55.97,56.06,15665256
10-Mar-15,56.95,57.19,56.49,56.58,13125044
9-Mar-15,56.84,57.37,56.30,57.26,8342037
6-Mar-15,57.85,57.87,56.72,56.84,11064674
5-Mar-15,58.09,58.28,57.80,57.98,11534075
4-Mar-15,58.41,58.65,57.68,57.88,13335241
3-Mar-15,58.64,58.70,57.95,58.34,8251306
2-Mar-15,58.29,58.89,58.28,58.58,9667160
27-Feb-15,58.89,59.06,58.49,58.54,13059939
26-Feb-15,58.66,59.15,58.66,58.96,11489059
25-Feb-15,58.46,58.97,58.06,58.49,8455230
24-Feb-15,58.49,58.57,58.05,58.36,7714066
23-Feb-15,58.39,58.67,58.17,58.30,8589913
20-Feb-15,58.15,58.48,57.73,58.35,11604833
19-Feb-15,58.85,58.99,57.81,58.30,9836208
18-Feb-15,58.67,59.01,58.23,58.80,10534154
17-Feb-15,58.74,58.97,58.70,58.79,10187258
13-Feb-15,58.90,58.94,58.61,58.81,7899278
12-Feb-15,59.00,59.11,58.59,58.88,7207699
11-Feb-15,58.76,58.96,58.40,58.74,10484371
10-Feb-15,59.00,59.34,58.77,58.85,9539369
9-Feb-15,58.65,59.00,57.93,58.33,10014119
6-Feb-15,59.10,59.77,58.58,58.79,9864762
5-Feb-15,59.27,59.35,58.50,59.17,12660363
4-Feb-15,59.97,60.00,58.34,59.05,19446708
3-Feb-15,60.89,61.06,59.94,61.02,11477537
2-Feb-15,60.50,60.93,59.78,60.88,9266650
30-Jan-15,61.53,61.93,60.03,60.28,12086924
29-Jan-15,61.54,62.15,60.76,62.09,9091286
28-Jan-15,62.82,62.96,61.32,61.45,8868656
27-Jan-15,62.88,63.02,62.13,62.56,7965061
26-Jan-15,62.58,62.98,62.12,62.82,6714565
23-Jan-15,62.46,63.00,62.41,62.49,6229120
22-Jan-15,62.26,62.71,61.53,62.59,8494438
21-Jan-15,62.42,62.78,62.08,62.16,9082145
20-Jan-15,62.71,63.30,61.88,62.61,13109494
16-Jan-15,61.86,63.16,61.53,63.03,11371154
15-Jan-15,62.79,62.99,61.83,61.88,9564604
14-Jan-15,61.72,62.91,61.48,62.64,9858116
13-Jan-15,62.91,63.62,61.73,62.19,10039325
12-Jan-15,63.10,63.50,62.10,62.30,11569027
9-Jan-15,62.81,63.13,62.17,62.56,12638682
8-Jan-15,62.00,62.94,61.85,62.85,19121028
7-Jan-15,60.44,61.62,60.36,61.61,18634532
6-Jan-15,58.28,60.50,58.25,60.32,24287729
5-Jan-15,58.21,58.48,57.57,58.04,15961191
2-Jan-15,57.22,57.79,57.02,57.19,7085973
31-Dec-14,57.27,57.85,56.73,56.79,7483648
30-Dec-14,57.53,57.77,57.30,57.65,5234845
29-Dec-14,57.45,57.92,57.45,57.73,6003835
26-Dec-14,57.68,58.02,57.59,57.78,4672797
24-Dec-14,57.29,57.86,57.25,57.46,5055251
23-Dec-14,58.69,59.00,57.03,57.21,14165417
22-Dec-14,59.12,59.56,58.55,58.96,10010502
19-Dec-14,59.25,59.90,59.01,59.58,17374218
18-Dec-14,58.59,58.98,58.09,58.98,13359439
17-Dec-14,57.05,57.80,56.56,57.63,12669862
16-Dec-14,56.97,58.29,56.78,56.80,11214043
15-Dec-14,57.82,58.06,56.80,56.95,12175188
12-Dec-14,59.13,59.65,57.71,57.72,12120350
11-Dec-14,59.78,60.58,59.19,59.34,11314081
10-Dec-14,60.12,60.52,59.70,59.98,13253662
9-Dec-14,59.40,60.14,58.75,60.01,18778192
8-Dec-14,61.17,62.20,60.98,61.88,11394689
5-Dec-14,61.03,61.77,60.82,61.49,11171819
4-Dec-14,60.51,61.38,60.51,60.92,7148208
3-Dec-14,60.76,60.93,60.31,60.58,9730490
2-Dec-14,60.63,60.98,60.28,60.78,6445999
1-Dec-14,60.40,61.32,60.28,60.52,8274056
28-Nov-14,59.70,60.87,59.70,60.40,6207390
26-Nov-14,59.70,59.77,59.35,59.75,6280816
25-Nov-14,59.32,59.66,59.13,59.34,10328583
24-Nov-14,59.81,59.81,58.99,59.25,8487986
21-Nov-14,59.94,60.02,59.33,59.66,11260375
20-Nov-14,59.21,59.40,58.86,59.38,6741072
19-Nov-14,59.63,59.73,59.13,59.64,7304394
18-Nov-14,59.49,60.13,59.15,59.89,7668095
17-Nov-14,59.71,59.90,59.31,59.46,8571261
14-Nov-14,59.23,59.55,58.77,59.07,7130610
13-Nov-14,59.50,59.95,59.18,59.54,6646925
