Date,Open,High,Low,Close,Volume
12-Jun-15,99.18,99.83,99.01,99.24,1180742
11-Jun-15,99.62,99.94,99.13,99.67,1450912
10-Jun-15,98.77,99.47,98.70,99.12,2707856
9-Jun-15,98.13,98.63,98.07,98.19,1443623
8-Jun-15,98.68,98.87,98.11,98.12,1832014
5-Jun-15,99.31,99.33,98.54,98.77,2406036
4-Jun-15,99.86,100.89,99.75,100.37,2217005
3-Jun-15,101.72,102.41,99.98,100.22,2854763
2-Jun-15,102.79,102.99,101.62,102.22,2409147
1-Jun-15,102.55,104.38,102.44,103.53,3136786
29-May-15,102.14,102.77,101.45,102.34,2797960
28-May-15,100.75,102.33,100.75,102.27,2620357
27-May-15,100.50,101.40,100.31,100.83,2126183
26-May-15,102.23,102.27,100.40,101.03,3435671
22-May-15,102.07,102.51,101.52,102.23,1381346
21-May-15,102.50,102.75,101.87,102.16,1340282
20-May-15,102.53,103.40,102.25,102.52,1971266
19-May-15,101.55,103.05,101.22,102.51,1529538
18-May-15,101.84,102.84,101.74,102.30,1953401
15-May-15,101.23,102.23,101.20,102.14,2940184
14-May-15,100.58,101.26,100.47,101.08,1823378
13-May-15,100.14,101.38,99.72,100.20,2301085
12-May-15,99.61,100.36,98.82,99.91,2056946
11-May-15,101.00,101.86,99.87,100.01,2018325
8-May-15,101.98,102.87,100.40,101.21,2484479
7-May-15,100.67,100.97,100.11,100.60,2178295
6-May-15,99.98,100.75,99.11,100.03,3041257
5-May-15,102.23,102.53,99.55,100.15,3159112
4-May-15,101.85,103.94,101.38,102.76,3069309
1-May-15,101.00,102.00,100.20,101.88,2272949
30-Apr-15,102.32,102.90,100.25,100.93,3765465
29-Apr-15,103.23,104.56,102.37,102.70,2316905
28-Apr-15,103.29,104.52,102.95,104.10,2014769
27-Apr-15,105.44,105.45,103.44,103.82,1803832
24-Apr-15,104.21,105.79,103.90,105.05,1531013
23-Apr-15,103.40,104.59,103.16,104.28,1685605
22-Apr-15,103.63,103.88,102.66,103.29,1823539
21-Apr-15,104.50,105.18,103.15,103.40,1960787
20-Apr-15,103.35,105.31,103.11,104.50,2418962
17-Apr-15,103.27,104.24,102.75,103.15,1493449
16-Apr-15,103.81,104.41,102.94,103.76,1692697
15-Apr-15,104.63,105.63,104.15,104.18,1609302
14-Apr-15,104.15,104.79,103.91,104.36,1042871
13-Apr-15,104.47,104.81,103.64,103.75,1196840
10-Apr-15,104.26,105.16,103.92,104.90,933524
9-Apr-15,103.88,104.10,102.94,104.01,1320648
8-Apr-15,103.96,104.34,103.29,104.04,1427648
7-Apr-15,105.41,105.76,104.19,104.29,1042011
6-Apr-15,105.22,106.63,105.13,105.54,1676701
2-Apr-15,104.62,105.27,104.27,104.75,1320155
1-Apr-15,103.94,105.16,102.86,104.76,1892112
31-Mar-15,104.45,104.99,103.39,104.05,2291329
30-Mar-15,104.33,105.06,103.78,104.74,1587916
27-Mar-15,102.96,104.03,102.74,103.54,1517021
26-Mar-15,102.81,103.78,102.30,102.72,1712865
25-Mar-15,104.84,105.23,103.42,103.42,1701314
24-Mar-15,105.34,106.36,104.75,104.84,2108654
23-Mar-15,105.07,106.18,105.07,105.74,2419440
20-Mar-15,105.97,106.89,104.82,105.99,6854545
19-Mar-15,106.50,107.47,104.95,105.48,2849787
18-Mar-15,103.26,107.39,102.99,106.90,3791939
17-Mar-15,103.00,104.00,102.71,103.28,2153078
16-Mar-15,101.73,103.96,101.61,102.97,3421077
13-Mar-15,100.36,100.96,99.50,100.61,3318768
12-Mar-15,98.78,101.27,98.68,100.52,3249827
11-Mar-15,98.58,99.05,97.52,97.98,2269587
10-Mar-15,97.48,99.55,97.48,97.99,3428945
9-Mar-15,98.78,99.54,98.58,98.93,2441174
6-Mar-15,100.84,100.84,98.23,98.70,3123143
5-Mar-15,101.83,102.96,101.62,102.13,1966832
4-Mar-15,101.62,102.08,101.08,101.39,2978788
3-Mar-15,101.24,102.16,100.57,101.94,2009136
2-Mar-15,103.00,103.39,100.71,101.54,2477343
27-Feb-15,103.80,104.04,102.95,103.46,1630867
26-Feb-15,104.07,104.43,103.21,103.48,1743649
25-Feb-15,105.22,105.46,103.48,103.78,2025880
24-Feb-15,105.72,107.05,105.46,106.08,1870488
23-Feb-15,105.74,106.22,105.29,105.99,1564292
20-Feb-15,105.25,105.96,104.28,105.60,1700944
19-Feb-15,106.95,106.95,105.03,105.43,3270616
18-Feb-15,103.49,106.54,103.42,106.49,2409467
17-Feb-15,103.50,104.77,102.70,103.42,2855867
13-Feb-15,104.86,104.87,103.08,103.62,2487237
12-Feb-15,105.05,105.37,103.84,105.34,2359813
11-Feb-15,107.18,107.24,104.85,105.06,2130105
10-Feb-15,104.80,108.04,104.55,107.83,3396348
9-Feb-15,105.66,106.36,104.18,104.52,2073152
6-Feb-15,109.29,109.40,105.06,105.80,2197347
5-Feb-15,109.82,110.09,108.83,109.71,1307926
4-Feb-15,109.98,110.63,109.14,109.44,1563779
3-Feb-15,110.02,110.47,109.16,110.24,2160553
2-Feb-15,109.53,110.19,108.02,110.07,1800812
30-Jan-15,111.46,111.50,109.16,109.24,1936441
29-Jan-15,110.18,111.72,109.72,111.66,1705945
28-Jan-15,111.28,112.64,109.76,109.92,2032242
27-Jan-15,109.87,111.51,108.63,111.22,2131892
26-Jan-15,109.31,109.78,108.62,109.75,1382156
23-Jan-15,109.88,110.22,109.34,109.48,1685169
22-Jan-15,110.28,110.72,108.51,109.55,2322617
21-Jan-15,108.30,110.25,107.77,109.89,3026393
20-Jan-15,108.61,109.09,107.52,108.93,1849909
16-Jan-15,107.13,108.32,106.89,108.22,1967454
15-Jan-15,107.53,107.83,106.12,107.04,4324708
14-Jan-15,105.79,107.60,105.50,107.45,1831852
13-Jan-15,107.29,108.46,106.19,106.79,1689323
12-Jan-15,106.50,107.35,105.64,106.37,1456987
9-Jan-15,107.73,108.02,106.37,106.64,1530766
8-Jan-15,107.87,108.23,107.31,107.59,1905115
7-Jan-15,107.59,107.96,106.07,106.94,1822988
6-Jan-15,105.92,107.91,105.76,105.97,2656092
5-Jan-15,106.58,106.77,105.19,105.56,2040334
2-Jan-15,106.63,107.13,105.38,106.69,1616367
31-Dec-14,107.85,108.47,106.18,106.29,1497795
30-Dec-14,110.44,110.44,107.62,107.83,1436639
29-Dec-14,109.11,110.84,109.06,110.50,1952205
