Date,Open,High,Low,Close,Volume
12-Jun-15,34.30,34.46,34.10,34.21,21685532
11-Jun-15,34.32,34.57,34.26,34.46,20155476
10-Jun-15,34.08,34.43,34.04,34.31,23674000
9-Jun-15,34.05,34.13,33.89,34.01,23211089
8-Jun-15,33.97,34.16,33.92,33.98,17670265
5-Jun-15,34.19,34.28,33.93,34.09,23067781
4-Jun-15,34.20,34.56,34.11,34.24,20659114
3-Jun-15,34.55,34.66,34.28,34.41,17201219
2-Jun-15,34.64,34.66,34.35,34.49,18666242
1-Jun-15,34.77,34.92,34.53,34.56,27551643
29-May-15,34.48,34.99,34.41,34.75,50083281
28-May-15,34.46,34.53,34.27,34.44,15817238
27-May-15,34.21,34.47,34.07,34.30,22041415
26-May-15,34.18,34.34,34.03,34.11,18863608
22-May-15,34.32,34.49,34.23,34.28,12973502
21-May-15,34.23,34.49,34.21,34.36,18112198
20-May-15,34.30,34.49,34.27,34.30,15316889
19-May-15,33.87,34.39,33.84,34.21,20854707
18-May-15,33.98,34.06,33.90,33.98,24619161
15-May-15,34.00,34.06,33.92,33.99,16886762
14-May-15,33.71,33.99,33.66,33.94,17894537
13-May-15,33.77,33.80,33.48,33.53,23762495
12-May-15,33.81,33.96,33.72,33.78,17889918
11-May-15,34.09,34.26,33.94,33.96,26469509
8-May-15,33.81,34.15,33.80,34.02,20411756
7-May-15,33.44,33.75,33.32,33.58,21508469
6-May-15,33.75,33.90,33.21,33.46,26859481
5-May-15,34.37,34.43,34.01,34.12,22382158
4-May-15,34.11,34.50,34.05,34.32,23590434
1-May-15,33.86,34.21,33.86,34.08,21543362
30-Apr-15,34.11,34.22,33.71,33.93,27709137
29-Apr-15,34.17,34.46,33.95,34.29,37545364
28-Apr-15,34.74,34.88,34.15,34.48,46166849
27-Apr-15,35.34,35.46,34.42,34.59,42492058
24-Apr-15,35.20,35.40,35.05,35.27,22801318
23-Apr-15,34.89,35.40,34.82,35.36,22705857
22-Apr-15,34.82,35.09,34.80,34.93,14566264
21-Apr-15,35.10,35.40,34.80,34.89,22065411
20-Apr-15,35.04,35.24,34.94,35.01,22402767
17-Apr-15,35.00,35.07,34.78,35.04,28714998
16-Apr-15,35.07,35.29,35.02,35.19,19580445
15-Apr-15,35.40,35.47,35.12,35.21,29576121
14-Apr-15,35.05,35.31,34.91,35.03,15981680
13-Apr-15,35.35,35.53,35.01,35.09,34303193
10-Apr-15,34.92,35.47,34.90,35.44,24353692
9-Apr-15,34.64,35.06,34.38,35.03,29283243
8-Apr-15,34.51,34.84,34.42,34.64,22974476
7-Apr-15,34.63,34.89,34.51,34.54,14331227
6-Apr-15,34.42,34.81,34.23,34.48,21480465
2-Apr-15,34.42,34.63,34.22,34.38,25111848
1-Apr-15,34.84,34.84,34.11,34.33,32242944
31-Mar-15,34.89,35.13,34.76,34.79,26506614
30-Mar-15,34.60,35.22,34.55,35.00,25512725
27-Mar-15,34.44,34.60,34.23,34.53,22840401
26-Mar-15,34.11,34.40,33.95,34.16,24826881
25-Mar-15,34.61,35.00,34.27,34.30,29206066
24-Mar-15,34.94,35.00,34.50,34.52,33163124
23-Mar-15,34.51,35.45,34.49,35.05,50805972
20-Mar-15,34.13,34.47,33.98,34.25,59160691
19-Mar-15,34.28,34.38,34.07,34.15,20437408
18-Mar-15,34.03,34.50,33.75,34.38,33133937
17-Mar-15,34.12,34.30,33.94,34.17,20632621
16-Mar-15,34.08,34.56,33.96,34.44,29047073
13-Mar-15,33.92,34.00,33.70,34.00,28080492
12-Mar-15,33.81,34.06,33.78,34.00,28177510
11-Mar-15,33.98,34.10,33.63,33.63,25613667
