Date,Open,High,Low,Close,Volume
12-Jun-15,79.17,79.32,78.57,78.87,6508632
11-Jun-15,79.93,79.93,79.24,79.41,7633332
10-Jun-15,79.23,79.79,79.01,79.54,9483534
9-Jun-15,77.97,79.33,77.82,78.90,11528875
8-Jun-15,77.48,77.98,77.10,77.71,10916201
5-Jun-15,78.04,78.12,77.37,77.43,9439700
4-Jun-15,78.41,78.84,78.06,78.15,7714574
3-Jun-15,78.91,78.93,78.27,78.56,5985813
2-Jun-15,78.46,78.72,78.17,78.54,7380764
1-Jun-15,78.65,79.07,78.27,78.85,7588036
29-May-15,79.18,79.24,78.19,78.39,12551704
28-May-15,79.43,79.45,79.02,79.33,5803445
27-May-15,79.22,79.94,79.09,79.39,8094560
26-May-15,79.97,80.07,78.94,79.14,6698256
22-May-15,80.24,80.40,79.92,79.95,6003623
21-May-15,80.17,80.58,79.84,80.41,6055727
20-May-15,80.93,81.00,80.45,80.48,5486969
19-May-15,80.75,80.95,80.33,80.83,5729453
18-May-15,80.97,81.13,80.50,80.74,5590781
15-May-15,80.83,81.12,80.73,81.05,7454848
14-May-15,80.11,80.69,80.09,80.57,5634158
13-May-15,80.16,80.59,79.55,79.70,6459854
12-May-15,80.03,80.29,79.36,79.95,6305837
11-May-15,80.95,80.99,80.26,80.27,5237754
8-May-15,80.89,81.21,80.82,80.96,6929376
7-May-15,80.37,80.55,80.00,80.20,7224338
6-May-15,80.34,80.58,79.52,80.40,7335742
5-May-15,80.50,80.65,79.78,80.07,6589434
4-May-15,80.48,80.97,80.30,80.35,7203759
1-May-15,79.76,80.32,79.63,80.29,8192966
30-Apr-15,79.95,80.15,79.07,79.51,9409334
29-Apr-15,80.00,80.31,79.72,79.85,11858459
28-Apr-15,80.73,80.82,80.19,80.42,8395450
27-Apr-15,80.91,81.20,80.47,80.60,9192250
24-Apr-15,81.04,81.53,80.90,81.00,8785471
23-Apr-15,81.42,82.10,80.90,80.95,14569488
22-Apr-15,83.22,83.34,82.60,83.09,6753101
21-Apr-15,83.39,83.80,82.90,83.08,7696424
20-Apr-15,83.09,83.98,82.80,82.87,7415988
17-Apr-15,83.00,83.22,82.03,82.53,9533805
16-Apr-15,83.56,84.07,83.35,83.50,7615906
15-Apr-15,83.85,84.20,83.48,83.51,7006392
14-Apr-15,83.39,83.88,83.05,83.60,6792597
13-Apr-15,83.00,83.95,82.94,83.43,8290458
10-Apr-15,82.80,83.63,82.72,83.35,7001674
9-Apr-15,82.63,82.95,82.01,82.89,6184986
8-Apr-15,82.30,83.18,82.27,82.77,6523404
7-Apr-15,82.93,83.29,82.33,82.39,6330163
6-Apr-15,81.92,83.22,81.51,83.04,6856344
2-Apr-15,82.17,82.59,81.92,82.43,6169838
1-Apr-15,82.44,82.45,81.45,82.32,7395287
31-Mar-15,82.76,82.93,81.94,81.94,8649658
30-Mar-15,82.63,82.95,82.15,82.72,6416848
27-Mar-15,82.08,82.54,81.99,82.31,6441403
26-Mar-15,82.58,82.61,81.95,82.15,7311649
25-Mar-15,84.37,84.37,82.86,83.01,8482161
24-Mar-15,84.89,85.11,83.87,83.92,7478791
23-Mar-15,84.37,85.05,84.36,84.86,9891106
20-Mar-15,83.99,84.79,83.77,84.74,22580280
19-Mar-15,83.46,83.75,83.12,83.38,9257503
18-Mar-15,82.86,84.05,82.02,83.75,12607899
17-Mar-15,83.36,83.37,82.43,82.85,7509338
16-Mar-15,82.08,83.95,81.99,83.56,15618256
13-Mar-15,81.98,82.28,81.15,81.83,7492548
12-Mar-15,81.59,82.12,81.51,82.09,6951122
11-Mar-15,81.53,81.78,80.81,81.39,10066594
10-Mar-15,82.47,82.88,81.54,81.54,9681416
9-Mar-15,82.79,83.21,82.68,83.09,7326705
6-Mar-15,84.34,84.37,82.37,82.66,11338662
5-Mar-15,84.62,84.76,84.09,84.63,5914196
4-Mar-15,85.04,85.24,84.21,84.35,7369986
3-Mar-15,85.35,85.44,84.54,85.16,6095591
2-Mar-15,85.02,85.41,84.84,85.41,7235172
27-Feb-15,85.02,85.38,84.57,85.13,7685024
26-Feb-15,85.42,85.76,84.89,85.17,7964477
25-Feb-15,85.70,85.80,85.24,85.46,5975834
24-Feb-15,85.51,85.74,85.01,85.50,6502170
23-Feb-15,84.96,85.50,84.65,85.39,7919155
20-Feb-15,84.95,85.05,84.19,84.87,9581338
19-Feb-15,86.11,86.30,85.05,85.21,7271618
18-Feb-15,85.76,86.39,85.52,86.26,8132286
17-Feb-15,86.06,86.06,85.00,85.49,10310422
13-Feb-15,86.03,86.15,85.50,85.90,6272049
12-Feb-15,86.06,86.15,85.41,86.03,6074566
11-Feb-15,85.95,86.20,85.14,85.64,7184577
10-Feb-15,85.33,85.57,84.82,85.39,7059632
9-Feb-15,85.31,85.43,84.59,85.05,8811512
6-Feb-15,86.56,86.61,85.15,85.61,8429773
5-Feb-15,86.24,86.78,86.10,86.70,6531298
4-Feb-15,85.89,86.48,85.55,85.79,9212785
3-Feb-15,85.95,86.00,85.12,85.95,10747897
2-Feb-15,84.58,85.14,83.68,85.12,10278739
30-Jan-15,85.09,85.22,84.25,84.29,14685250
29-Jan-15,85.78,86.11,85.15,85.67,12054601
28-Jan-15,86.63,86.91,85.01,85.15,14033420
27-Jan-15,87.10,87.21,86.02,86.49,14417363
26-Jan-15,89.95,89.95,88.74,89.58,9371693
23-Jan-15,91.17,91.19,89.95,90.08,6745741
22-Jan-15,91.04,91.69,89.87,91.62,7211231
21-Jan-15,90.40,91.19,89.63,90.73,6974533
20-Jan-15,91.25,91.79,90.50,91.19,9874638
16-Jan-15,89.95,91.34,89.87,91.25,8815713
15-Jan-15,90.49,90.50,89.34,89.86,6768180
14-Jan-15,89.73,90.16,89.43,89.99,6418158
13-Jan-15,90.78,91.50,89.77,90.30,6730752
12-Jan-15,90.48,90.62,89.50,89.92,5250893
9-Jan-15,91.18,91.18,90.12,90.25,4873097
8-Jan-15,90.48,91.22,90.13,91.10,6831617
7-Jan-15,89.94,90.37,89.56,90.07,5986899
6-Jan-15,90.31,90.56,89.26,89.60,7791195
5-Jan-15,90.23,91.00,89.85,90.01,8626143
2-Jan-15,90.84,91.00,89.92,90.44,7255494
31-Dec-14,92.04,92.55,91.03,91.09,5712139
30-Dec-14,92.25,92.82,92.10,92.40,4730012
29-Dec-14,93.12,93.43,92.50,92.64,4657706
