Date,Open,High,Low,Close,Volume
12-Jun-15,81.50,81.91,80.75,81.86,6122980
11-Jun-15,82.47,82.75,81.97,82.25,3681750
10-Jun-15,80.76,82.71,80.76,82.29,6310673
9-Jun-15,80.04,81.20,80.04,80.75,3822965
8-Jun-15,79.70,80.64,79.38,80.15,4313278
5-Jun-15,81.50,81.67,79.50,79.70,6151977
4-Jun-15,82.41,82.84,81.66,81.83,3281635
3-Jun-15,83.40,83.43,82.39,82.42,2936913
2-Jun-15,82.80,83.52,82.32,82.95,3740953
1-Jun-15,82.90,83.43,82.50,83.19,3378758
29-May-15,84.04,84.04,82.97,83.07,4480961
28-May-15,84.35,84.76,83.66,84.26,2849552
27-May-15,84.00,84.37,83.62,84.22,3436152
26-May-15,83.97,84.02,83.18,83.72,2961110
22-May-15,84.75,84.86,84.10,84.15,2733847
21-May-15,85.41,85.41,84.60,85.14,3041884
20-May-15,85.55,86.08,85.31,85.41,2411295
19-May-15,85.59,85.92,85.02,85.66,2952496
18-May-15,86.65,86.71,85.60,86.03,3173307
15-May-15,86.68,86.77,85.99,86.57,3702922
14-May-15,85.00,86.91,84.91,86.79,6186318
13-May-15,84.33,84.88,83.87,84.53,4317727
12-May-15,83.51,84.75,83.32,84.13,3027120
11-May-15,85.02,85.37,84.01,84.13,3156139
8-May-15,84.84,85.74,84.70,85.19,4380567
7-May-15,83.76,84.26,83.25,84.01,3251050
6-May-15,83.61,83.88,82.99,83.87,5323896
5-May-15,83.19,83.44,82.56,82.81,2903732
4-May-15,83.66,83.70,83.00,83.21,2482400
1-May-15,83.47,83.73,82.91,83.39,3269679
30-Apr-15,82.86,83.51,82.48,83.47,6162148
29-Apr-15,82.46,82.88,81.95,82.73,5879481
28-Apr-15,82.02,83.10,82.02,82.88,5080311
27-Apr-15,82.78,82.90,82.05,82.09,4865195
24-Apr-15,83.54,83.87,82.67,82.75,4498535
23-Apr-15,83.17,84.38,82.88,83.55,4347072
22-Apr-15,84.06,84.06,82.92,83.69,5951936
21-Apr-15,84.99,85.30,83.86,84.05,4399318
20-Apr-15,85.40,85.75,84.46,84.98,6388162
17-Apr-15,84.57,85.48,84.32,85.26,8306697
16-Apr-15,82.42,85.26,82.21,84.96,23609501
15-Apr-15,78.44,78.91,77.87,78.13,7231371
14-Apr-15,77.14,78.28,77.12,78.11,4891150
13-Apr-15,77.50,77.89,77.25,77.39,3585421
10-Apr-15,78.11,78.57,77.87,77.90,3860087
9-Apr-15,77.02,77.99,77.00,77.86,3371796
8-Apr-15,77.73,78.00,76.93,77.24,4556182
7-Apr-15,78.19,78.57,77.74,77.74,4790499
6-Apr-15,77.29,78.66,77.24,78.20,5553101
2-Apr-15,76.44,77.42,75.95,77.26,4745408
1-Apr-15,75.27,76.09,75.27,76.07,6915145
31-Mar-15,76.54,76.55,75.30,75.33,7498259
30-Mar-15,77.25,77.25,76.26,76.86,4390621
27-Mar-15,76.27,76.87,76.16,76.79,5158837
26-Mar-15,76.56,76.96,76.27,76.34,7069216
25-Mar-15,77.81,77.97,76.54,76.70,7923821
24-Mar-15,78.87,79.20,77.50,77.53,6021456
23-Mar-15,79.45,80.15,79.45,79.86,4841140
20-Mar-15,78.83,79.48,78.79,79.45,10919236
19-Mar-15,78.64,79.32,78.56,78.86,9453847
18-Mar-15,77.60,79.28,76.59,78.56,9179210
17-Mar-15,77.77,78.25,77.63,77.89,4140954
16-Mar-15,78.07,78.38,77.46,77.89,5361781
13-Mar-15,78.73,78.73,76.85,77.65,5337569
12-Mar-15,78.26,78.78,77.96,78.73,4806600
11-Mar-15,79.33,79.44,77.38,77.82,7285350
10-Mar-15,80.00,80.00,79.06,79.25,7066882
9-Mar-15,80.18,80.60,80.07,80.45,4574294
6-Mar-15,81.28,81.35,79.79,80.05,7757420
5-Mar-15,82.20,82.37,81.54,81.71,3418825
4-Mar-15,82.69,82.70,81.69,82.17,3582486
3-Mar-15,82.67,82.99,82.46,82.70,3597528
2-Mar-15,82.88,83.22,82.64,82.95,3188892
27-Feb-15,82.73,83.10,82.14,82.96,5971689
26-Feb-15,83.24,83.40,82.57,82.80,2973164
25-Feb-15,83.51,83.72,83.20,83.47,2850183
24-Feb-15,82.71,83.62,82.64,83.51,3313791
23-Feb-15,82.80,82.95,82.28,82.89,3362441
20-Feb-15,82.47,83.13,82.25,83.04,3572405
19-Feb-15,82.96,83.05,82.41,82.62,3774273
18-Feb-15,82.34,83.01,82.24,83.00,2487271
17-Feb-15,82.80,82.85,82.30,82.71,4391316
13-Feb-15,83.81,83.86,82.66,82.87,4924680
12-Feb-15,82.71,83.72,82.58,83.69,5324550
11-Feb-15,81.36,82.73,81.16,82.48,5670478
10-Feb-15,80.92,81.21,80.53,81.08,6732159
9-Feb-15,80.81,81.48,80.56,80.83,4357163
6-Feb-15,82.32,82.32,80.94,81.27,5942878
5-Feb-15,82.42,83.24,81.31,82.57,6317062
4-Feb-15,82.04,82.60,81.85,82.08,5151069
3-Feb-15,82.00,82.44,81.81,82.24,4103180
2-Feb-15,80.24,81.70,80.06,81.63,4129576
30-Jan-15,80.53,81.19,80.10,80.24,6692937
29-Jan-15,80.51,81.50,80.32,81.22,4108215
28-Jan-15,82.03,82.30,80.39,80.58,5878730
27-Jan-15,82.53,82.72,81.38,81.60,8541891
26-Jan-15,82.95,83.40,82.50,83.05,4658496
23-Jan-15,84.61,84.75,82.70,82.82,6649347
22-Jan-15,85.04,85.29,84.43,85.16,6069714
21-Jan-15,83.08,84.61,82.72,84.55,4518468
20-Jan-15,83.21,83.99,82.89,83.58,6172287
16-Jan-15,82.85,83.20,82.19,82.70,7302271
15-Jan-15,82.71,83.42,82.57,82.82,5088125
14-Jan-15,82.26,83.46,82.25,83.42,4629168
13-Jan-15,83.32,83.98,82.67,83.10,5810156
12-Jan-15,83.11,83.67,82.64,83.05,3997209
9-Jan-15,83.54,83.65,82.47,82.72,4301315
8-Jan-15,82.32,83.58,82.31,82.94,6594486
7-Jan-15,81.80,82.05,81.02,81.71,7525061
6-Jan-15,80.96,82.04,80.60,81.10,10011488
5-Jan-15,80.99,81.09,79.86,80.41,6213408
2-Jan-15,81.60,81.79,80.62,81.02,3795433
31-Dec-14,82.73,82.82,81.36,81.45,3709338
30-Dec-14,83.15,83.48,82.39,82.50,2708092
29-Dec-14,83.03,83.52,82.74,83.20,2628992
26-Dec-14,83.10,83.69,83.03,83.34,1709071
24-Dec-14,83.40,83.57,83.06,83.15,1748302
23-Dec-14,83.22,83.58,83.01,83.30,4436850
22-Dec-14,82.48,83.16,82.16,82.97,5951664
19-Dec-14,84.17,84.39,82.63,83.05,9128011
18-Dec-14,82.70,84.05,82.39,84.02,6701820
17-Dec-14,81.81,82.26,81.16,81.85,6673355
16-Dec-14,82.20,82.96,81.35,81.39,8405214
15-Dec-14,84.57,84.88,82.38,82.45,7286877
12-Dec-14,85.59,86.37,84.39,84.42,4922833
11-Dec-14,85.63,86.81,85.60,85.97,4182667
10-Dec-14,86.49,86.59,85.27,85.60,4625562
9-Dec-14,86.05,86.58,85.25,86.56,3467792
8-Dec-14,86.42,87.16,86.33,86.79,3270598
5-Dec-14,87.28,87.32,86.71,87.14,4236647
4-Dec-14,87.28,87.48,86.37,87.15,4121560
3-Dec-14,87.15,87.68,86.77,87.65,3867038
2-Dec-14,86.58,87.43,86.52,87.39,4089859
1-Dec-14,86.37,87.03,85.70,86.50,3554112
28-Nov-14,87.20,87.57,86.77,86.93,3230908
26-Nov-14,86.66,86.91,86.42,86.60,2666709
25-Nov-14,86.49,86.73,86.16,86.30,5054368
24-Nov-14,87.30,87.61,86.47,86.50,3888593
21-Nov-14,86.15,87.04,86.10,87.00,6851858
20-Nov-14,86.50,86.50,85.57,85.81,6330722
19-Nov-14,86.95,87.20,86.47,86.83,4529855
18-Nov-14,87.47,87.60,87.09,87.13,3653738
17-Nov-14,86.33,87.50,86.17,87.30,3644585
14-Nov-14,87.35,87.40,85.49,86.28,6011499
13-Nov-14,88.04,88.70,87.53,87.86,3163855
