Date,Open,High,Low,Close,Volume
12-Jun-15,123.17,123.31,122.70,123.18,1253590
11-Jun-15,123.18,123.40,122.67,123.24,1103140
10-Jun-15,122.65,123.06,122.03,123.01,1007720
9-Jun-15,121.93,122.30,121.60,121.96,1628741
8-Jun-15,121.38,121.98,121.10,121.79,2319310
5-Jun-15,120.90,121.74,120.57,121.38,1220871
4-Jun-15,120.90,122.14,120.90,121.38,1691739
3-Jun-15,121.90,122.82,121.90,122.82,1319591
2-Jun-15,122.38,122.68,121.70,122.54,1212910
1-Jun-15,123.01,123.09,121.80,122.46,1448538
29-May-15,122.56,123.33,122.24,122.86,2269654
28-May-15,121.29,122.76,121.15,122.75,1355280
27-May-15,121.23,121.64,120.67,121.53,1229474
26-May-15,121.22,121.68,120.87,121.67,1431005
22-May-15,121.70,122.30,121.16,122.01,1430912
21-May-15,121.33,121.87,121.07,121.86,830178
20-May-15,121.78,122.35,121.00,121.48,1083886
19-May-15,121.88,121.88,120.74,121.33,888299
18-May-15,122.02,122.23,121.14,121.85,938719
15-May-15,120.27,123.07,120.27,122.40,1920085
14-May-15,118.76,120.70,118.32,120.61,1515272
13-May-15,117.82,118.24,117.19,117.81,1510731
12-May-15,118.84,118.84,117.46,117.84,1810765
11-May-15,120.71,121.10,118.97,119.15,1696680
8-May-15,122.07,122.24,120.91,121.02,1409590
7-May-15,119.43,121.03,119.14,120.77,1038951
6-May-15,121.76,121.96,119.44,119.85,1452957
5-May-15,122.48,122.83,120.53,120.91,796505
4-May-15,123.01,123.35,122.04,122.27,826061
1-May-15,122.25,123.66,122.08,122.75,1204253
30-Apr-15,124.18,124.30,121.24,121.93,3068591
29-Apr-15,120.00,124.99,119.81,124.69,2635245
28-Apr-15,123.16,123.94,122.25,122.79,1563293
27-Apr-15,122.50,123.73,121.97,123.59,1805445
24-Apr-15,121.98,122.50,121.45,122.46,1042463
23-Apr-15,121.46,122.42,121.00,121.86,979776
22-Apr-15,121.31,121.59,120.31,121.26,965084
21-Apr-15,122.13,122.42,121.07,121.23,1703542
20-Apr-15,121.52,122.19,120.92,122.00,1644236
17-Apr-15,120.39,120.93,120.06,120.45,1049902
16-Apr-15,121.47,121.88,120.66,121.24,1060070
15-Apr-15,121.58,122.33,121.20,121.50,1429350
14-Apr-15,121.30,121.68,120.43,121.00,1567038
13-Apr-15,122.49,122.72,121.13,121.22,1379960
10-Apr-15,123.00,123.00,121.48,122.36,1690390
9-Apr-15,122.61,123.00,122.17,122.57,1327510
8-Apr-15,122.74,123.22,122.02,122.36,1012491
7-Apr-15,122.08,123.34,122.08,122.77,922382
6-Apr-15,122.31,122.99,121.74,122.26,1085516
2-Apr-15,120.65,122.56,120.31,122.27,1334669
1-Apr-15,120.58,121.17,119.75,121.01,1231742
31-Mar-15,121.22,121.67,120.68,120.74,997538
30-Mar-15,121.03,121.95,120.65,121.52,846907
27-Mar-15,120.28,120.94,120.04,120.16,1071709
26-Mar-15,120.19,120.88,120.06,120.51,1040077
25-Mar-15,121.77,122.16,120.29,120.30,1008362
24-Mar-15,121.66,122.85,121.54,121.55,1301749
23-Mar-15,121.92,122.40,121.63,121.98,1100358
20-Mar-15,120.83,123.18,119.69,121.92,3025128
19-Mar-15,123.84,124.22,122.00,122.01,1394403
18-Mar-15,122.15,125.50,121.38,124.81,1277800
17-Mar-15,123.90,123.99,122.02,122.82,1374500
16-Mar-15,125.54,125.55,123.26,124.24,1437584
13-Mar-15,125.30,125.40,123.09,123.80,1332313
