Date,Open,High,Low,Close,Volume
12-Jun-15,42.44,42.62,42.26,42.30,3040990
11-Jun-15,42.59,42.74,42.42,42.59,3042565
10-Jun-15,42.76,42.83,42.30,42.34,4067541
9-Jun-15,42.46,42.70,42.40,42.44,4216754
8-Jun-15,42.96,42.96,42.33,42.60,6370619
5-Jun-15,42.81,42.90,42.51,42.66,7291407
4-Jun-15,42.91,43.46,42.87,43.18,7610458
3-Jun-15,43.31,43.35,42.75,43.12,7415559
2-Jun-15,43.58,43.68,43.01,43.28,6006662
1-Jun-15,43.77,43.92,43.50,43.67,4620303
29-May-15,43.51,43.89,43.37,43.69,6216429
28-May-15,43.70,43.77,43.32,43.51,4283447
27-May-15,43.30,43.94,43.18,43.73,6778912
26-May-15,43.12,43.35,42.73,43.30,6726574
22-May-15,43.30,43.32,42.89,43.23,4890361
21-May-15,43.66,43.71,43.22,43.38,4894644
20-May-15,43.66,44.00,43.62,43.67,4028595
19-May-15,43.41,43.73,43.35,43.67,3759657
18-May-15,43.52,43.82,43.42,43.65,3484498
15-May-15,43.28,43.83,43.21,43.72,5156323
14-May-15,42.95,43.40,42.95,43.18,4831550
13-May-15,43.63,43.74,43.27,43.38,6066353
12-May-15,43.50,43.54,43.11,43.47,7320739
11-May-15,44.15,44.29,43.51,43.59,8343622
8-May-15,44.64,44.72,43.76,44.15,8423752
7-May-15,44.22,44.56,44.06,44.23,5118477
6-May-15,44.33,44.50,43.77,44.08,6705368
5-May-15,44.81,44.90,44.14,44.27,7076604
4-May-15,44.90,45.33,44.67,44.98,4957730
1-May-15,44.24,44.87,44.24,44.82,5969420
30-Apr-15,44.57,44.57,43.98,44.30,8463077
29-Apr-15,44.22,44.77,43.96,44.65,5459955
28-Apr-15,44.33,44.67,44.08,44.66,4540671
27-Apr-15,44.98,45.05,44.27,44.32,4099918
24-Apr-15,44.69,45.23,44.63,44.87,3485590
23-Apr-15,44.47,44.90,44.45,44.69,4055893
22-Apr-15,44.59,44.76,44.28,44.48,4343702
21-Apr-15,44.81,45.12,44.30,44.42,4762854
20-Apr-15,44.25,45.06,44.12,44.76,4797545
17-Apr-15,44.02,44.41,43.97,44.11,4251197
16-Apr-15,44.20,44.30,43.80,44.11,3798646
15-Apr-15,44.34,44.75,44.12,44.20,3877953
14-Apr-15,44.27,44.47,44.12,44.35,3474053
13-Apr-15,44.48,44.64,44.12,44.20,3258687
10-Apr-15,44.50,44.86,44.33,44.62,3615746
9-Apr-15,44.19,44.49,43.85,44.47,6420625
8-Apr-15,44.28,44.38,43.90,44.34,6025773
7-Apr-15,44.96,45.00,44.20,44.26,5036413
6-Apr-15,44.80,45.44,44.77,44.92,5505889
2-Apr-15,44.52,44.80,44.45,44.64,3347886
1-Apr-15,44.35,44.70,43.90,44.62,5318121
31-Mar-15,44.27,44.48,43.96,44.28,5798129
30-Mar-15,44.24,44.52,44.07,44.33,4078118
27-Mar-15,43.75,44.37,43.75,44.01,5766974
26-Mar-15,44.04,44.32,43.70,43.76,5948385
25-Mar-15,44.66,44.86,44.02,44.03,4066979
24-Mar-15,45.07,45.33,44.44,44.52,4293092
23-Mar-15,45.04,45.36,45.02,45.17,3767329
20-Mar-15,44.71,45.18,44.65,44.97,7186404
19-Mar-15,45.01,45.42,44.59,44.66,4986918
18-Mar-15,44.32,45.49,44.12,45.14,7082974
17-Mar-15,44.48,44.77,44.27,44.32,3485141
16-Mar-15,44.12,44.92,44.12,44.63,4384292
13-Mar-15,44.40,44.45,43.75,43.95,5691877
12-Mar-15,43.86,44.57,43.82,44.46,6403727
11-Mar-15,43.91,44.21,43.55,43.72,4848583
10-Mar-15,43.98,44.56,43.79,43.93,8559279
9-Mar-15,44.11,44.43,43.97,44.01,6110162
6-Mar-15,44.52,44.56,43.88,44.09,11523807
5-Mar-15,44.96,45.23,44.82,45.02,5425385
4-Mar-15,45.05,45.05,44.61,44.83,3828953
3-Mar-15,45.09,45.19,44.56,45.15,5061359
2-Mar-15,45.80,45.80,44.65,44.87,7012991
27-Feb-15,45.76,45.94,45.52,45.79,4177077
26-Feb-15,46.03,46.15,45.68,45.76,3778243
25-Feb-15,47.02,47.05,45.86,45.92,5992549
24-Feb-15,46.46,47.01,46.26,46.89,5445187
23-Feb-15,46.28,46.54,46.13,46.47,5160800
20-Feb-15,46.11,46.22,45.60,46.14,4090200
19-Feb-15,46.80,46.87,46.01,46.19,4223031
18-Feb-15,45.88,46.97,45.69,46.84,7461283
17-Feb-15,45.69,46.14,45.22,45.54,8987114
13-Feb-15,46.43,46.54,45.54,45.88,8657630
12-Feb-15,47.60,47.63,46.29,46.56,11259872
11-Feb-15,48.42,48.67,47.66,47.95,7656799
10-Feb-15,47.72,48.80,47.72,48.68,5821769
9-Feb-15,48.21,48.33,47.64,47.79,6633861
6-Feb-15,49.43,49.44,47.86,48.17,8954973
5-Feb-15,49.57,49.88,49.05,49.71,6201862
4-Feb-15,50.96,51.14,49.32,49.46,10485621
3-Feb-15,50.77,50.95,50.36,50.80,8289304
2-Feb-15,50.65,50.93,50.12,50.78,7073180
30-Jan-15,52.30,52.49,50.64,50.72,12555003
29-Jan-15,52.04,52.91,51.90,52.79,4454997
28-Jan-15,52.42,53.16,52.06,52.17,5203708
27-Jan-15,52.11,52.71,52.11,52.42,3566788
26-Jan-15,52.06,52.27,51.68,52.23,4232392
23-Jan-15,52.13,52.47,52.00,52.23,4192516
22-Jan-15,52.00,52.26,51.65,52.13,4674469
21-Jan-15,51.47,52.09,51.19,52.01,5409178
20-Jan-15,51.40,51.68,51.17,51.66,4082241
16-Jan-15,50.68,51.39,50.62,51.35,5718551
15-Jan-15,50.41,50.88,50.12,50.80,5688749
14-Jan-15,49.70,50.20,49.44,50.19,6205682
13-Jan-15,50.01,50.50,49.52,49.68,5422122
12-Jan-15,49.95,50.00,49.44,49.71,4086081
9-Jan-15,50.32,50.36,49.63,49.70,4121397
8-Jan-15,50.41,50.69,50.22,50.34,4533238
7-Jan-15,49.79,50.44,49.60,50.30,4917043
6-Jan-15,49.20,50.18,49.18,49.75,9363079
5-Jan-15,49.38,49.49,48.90,49.16,7028681
2-Jan-15,49.19,49.44,48.84,49.37,4646762
31-Dec-14,49.95,50.10,49.05,49.11,4963274
30-Dec-14,50.82,50.82,49.75,49.77,4130064
29-Dec-14,50.42,51.28,50.42,50.88,6268752
26-Dec-14,50.00,50.87,49.96,50.47,5746272
24-Dec-14,49.17,50.13,49.17,49.91,3817961
23-Dec-14,49.30,49.47,49.12,49.17,3172621
22-Dec-14,49.34,49.49,48.88,49.36,4009021
19-Dec-14,48.94,49.32,48.76,49.02,8100232
18-Dec-14,48.32,49.00,48.10,49.00,4911802
17-Dec-14,47.97,48.35,47.77,48.30,4443401
16-Dec-14,47.91,48.39,47.46,47.76,5401211
15-Dec-14,48.05,48.23,47.50,47.85,4515884
12-Dec-14,48.10,48.70,47.91,47.92,3729905
11-Dec-14,47.90,48.65,47.90,48.40,4558808
10-Dec-14,47.97,48.42,47.89,47.92,4171819
9-Dec-14,48.16,48.36,47.81,48.14,3999644
8-Dec-14,47.56,48.22,47.56,48.05,4903865
5-Dec-14,47.44,47.70,47.22,47.54,4755856
4-Dec-14,47.90,48.13,47.65,47.91,3010492
3-Dec-14,48.06,48.14,47.72,47.90,4661541
2-Dec-14,47.80,48.17,47.42,47.91,6949755
1-Dec-14,47.15,48.31,47.07,47.69,8389592
28-Nov-14,46.97,47.65,46.97,47.43,3030153
26-Nov-14,46.50,46.96,46.50,46.82,3554245
25-Nov-14,46.75,46.75,46.30,46.47,5812011
24-Nov-14,47.30,47.36,46.62,46.71,3938122
21-Nov-14,47.32,47.37,46.83,47.25,4304340
20-Nov-14,47.21,47.39,46.90,47.11,3242202
19-Nov-14,47.10,47.37,46.93,47.27,3807221
18-Nov-14,47.30,47.49,46.98,47.25,3837013
17-Nov-14,46.78,47.20,46.56,47.08,4181690
14-Nov-14,46.84,46.93,46.46,46.64,4937501
13-Nov-14,47.20,47.44,46.74,46.94,6020353
