Date,Open,High,Low,Close,Volume
12-Jun-15,117.46,118.03,117.02,117.60,2345293
11-Jun-15,117.99,118.40,117.43,118.32,2707484
10-Jun-15,117.50,118.00,116.91,117.50,3145776
9-Jun-15,116.51,117.25,116.02,116.30,2499461
8-Jun-15,116.54,117.36,116.11,116.18,3237071
5-Jun-15,116.59,117.38,116.18,117.00,2667353
4-Jun-15,117.83,118.42,116.79,117.14,3581637
3-Jun-15,118.03,119.12,117.40,118.51,3129869
2-Jun-15,116.73,118.05,116.24,117.34,3503334
1-Jun-15,117.23,117.63,116.46,117.00,2341643
29-May-15,117.51,117.61,116.43,117.17,5061360
28-May-15,117.27,118.00,117.27,117.69,2904413
27-May-15,117.40,117.88,116.68,117.64,3365087
26-May-15,118.55,118.62,116.41,116.87,3434629
22-May-15,119.00,119.66,118.55,118.62,2389585
21-May-15,118.81,119.66,118.70,119.12,2121214
20-May-15,119.66,119.66,118.60,118.87,2432506
19-May-15,118.60,119.45,118.51,119.07,2808359
18-May-15,118.53,119.12,118.40,118.51,2435081
15-May-15,119.08,119.39,117.92,118.49,2964693
14-May-15,117.82,119.37,117.82,119.14,2728783
13-May-15,116.97,118.00,116.86,117.37,3039359
12-May-15,117.05,117.83,116.02,117.36,2804104
11-May-15,117.44,118.49,117.44,117.70,3023814
8-May-15,117.71,118.84,117.31,118.43,3707837
7-May-15,115.13,116.56,114.59,116.04,3155721
6-May-15,116.56,116.56,114.27,115.08,3690253
5-May-15,116.01,116.88,114.71,115.07,3028194
4-May-15,115.78,117.14,115.70,116.45,3925288
1-May-15,114.59,115.72,114.51,115.44,2781683
30-Apr-15,114.93,115.63,113.29,113.75,3899200
29-Apr-15,115.58,116.23,115.17,115.38,2893819
28-Apr-15,115.20,116.24,114.95,116.08,2746680
27-Apr-15,116.66,116.87,115.70,115.74,3920342
24-Apr-15,117.44,117.70,116.06,116.16,3523148
23-Apr-15,116.42,117.91,116.03,117.26,2632790
22-Apr-15,116.99,117.43,115.73,116.96,2792901
21-Apr-15,118.73,119.00,116.11,116.95,4584964
20-Apr-15,116.02,117.17,115.89,116.51,4007514
17-Apr-15,116.31,116.52,114.86,115.11,4318546
16-Apr-15,117.35,118.31,116.92,117.48,2905076
15-Apr-15,118.08,118.78,117.52,117.87,2774671
14-Apr-15,117.05,118.11,116.58,117.69,2606397
13-Apr-15,117.97,118.62,117.24,117.41,3030384
10-Apr-15,118.14,118.94,117.43,118.46,2254656
9-Apr-15,117.70,118.74,117.18,117.88,2088375
8-Apr-15,117.71,118.65,117.06,117.84,2484096
7-Apr-15,117.76,118.55,117.45,117.49,2269068
6-Apr-15,115.93,118.71,115.93,117.86,2857340
2-Apr-15,116.59,117.68,115.99,117.13,4227259
1-Apr-15,117.37,117.48,115.36,115.92,3426211
31-Mar-15,117.67,118.15,117.15,117.20,3525431
30-Mar-15,117.68,119.23,117.40,118.83,3000806
27-Mar-15,116.14,117.20,116.05,116.90,2803961
26-Mar-15,115.96,116.62,115.02,116.04,4389728
25-Mar-15,119.20,119.34,116.39,116.46,4456462
24-Mar-15,119.04,120.18,118.25,118.92,4033815
23-Mar-15,119.46,119.69,118.19,118.68,4542797
20-Mar-15,119.81,120.40,119.46,119.46,8206972
19-Mar-15,120.04,120.31,119.04,119.38,2880840
18-Mar-15,119.28,120.60,117.25,120.31,5280210
17-Mar-15,119.52,120.13,118.75,119.86,3822816
16-Mar-15,119.25,120.16,119.03,120.07,4674653
13-Mar-15,120.76,121.60,117.70,118.74,7361469
12-Mar-15,120.35,121.47,120.28,121.24,4907836
11-Mar-15,117.78,118.91,117.37,118.34,3747890
10-Mar-15,120.55,120.98,117.34,117.40,5583789
9-Mar-15,119.29,122.19,119.29,121.75,4127954
6-Mar-15,119.40,120.36,118.88,119.43,3663073
5-Mar-15,121.29,121.49,120.34,120.79,1928310
4-Mar-15,121.25,121.38,120.52,121.04,2123219
3-Mar-15,121.98,122.89,121.11,121.70,3187492
2-Mar-15,121.83,123.50,121.55,123.19,2325874
27-Feb-15,122.55,122.85,121.79,121.91,3085284
26-Feb-15,123.32,123.55,122.15,122.67,2498163
25-Feb-15,123.85,124.33,122.95,123.37,2872904
24-Feb-15,123.42,124.14,122.99,123.79,2455405
23-Feb-15,123.63,124.16,123.07,123.72,2737285
20-Feb-15,122.99,124.45,122.00,124.11,4062205
19-Feb-15,121.58,123.00,121.58,122.91,3407031
18-Feb-15,121.32,122.66,121.01,121.99,3475166
17-Feb-15,121.00,121.90,120.57,121.32,3241224
13-Feb-15,119.34,121.38,119.34,121.25,3802107
12-Feb-15,119.17,119.96,118.82,119.59,2896974
11-Feb-15,118.51,119.06,117.97,118.69,2707605
10-Feb-15,119.89,120.22,118.92,119.40,2559971
9-Feb-15,119.44,119.94,118.91,119.32,2560723
6-Feb-15,120.00,121.02,119.38,119.81,2829579
5-Feb-15,118.26,120.36,117.92,120.11,4687311
4-Feb-15,118.75,119.00,117.45,117.79,3208352
3-Feb-15,117.58,119.52,116.42,118.89,4491456
2-Feb-15,115.17,116.70,114.05,116.58,3516946
30-Jan-15,115.02,116.23,114.63,114.78,4623061
29-Jan-15,116.88,117.03,114.47,116.45,6328643
28-Jan-15,119.38,119.38,116.79,116.92,4341133
27-Jan-15,116.50,120.36,115.01,119.16,7328147
26-Jan-15,119.83,119.92,118.28,118.75,5693891
23-Jan-15,120.37,120.95,119.93,119.98,4298407
22-Jan-15,119.76,120.68,118.76,120.45,6562889
21-Jan-15,117.36,119.30,117.20,119.03,7177606
20-Jan-15,116.58,117.73,115.90,117.53,5466007
16-Jan-15,113.19,116.34,113.16,116.15,5773180
15-Jan-15,114.17,114.69,113.06,113.52,3170579
14-Jan-15,113.17,114.17,112.62,113.52,3508767
13-Jan-15,115.53,116.84,113.50,114.34,4196389
12-Jan-15,114.46,114.75,113.02,114.45,5016167
9-Jan-15,114.93,115.13,113.38,114.02,3825098
8-Jan-15,113.92,115.00,113.30,114.65,3899898
7-Jan-15,112.35,113.34,112.02,112.73,3102192
6-Jan-15,112.27,113.04,110.23,111.52,5772347
5-Jan-15,114.55,115.46,112.84,113.12,4765317
2-Jan-15,115.14,115.64,113.80,115.04,3143341
31-Dec-14,116.60,116.90,114.96,115.00,2363504
30-Dec-14,116.89,116.89,115.93,116.20,2177995
29-Dec-14,116.35,117.34,116.35,116.86,2490666
26-Dec-14,117.52,117.80,117.10,117.24,1596708
24-Dec-14,117.66,117.93,116.87,116.91,1019932
23-Dec-14,117.50,118.02,116.92,117.21,2715851
22-Dec-14,115.28,117.20,115.28,117.14,3058054
19-Dec-14,116.28,117.19,115.38,115.59,7871628
18-Dec-14,115.15,116.96,114.50,116.96,4739978
17-Dec-14,113.51,114.34,111.82,113.90,5032075
16-Dec-14,112.23,114.70,111.33,113.23,5146487
15-Dec-14,112.66,113.45,111.62,111.91,4605749
12-Dec-14,110.54,113.66,110.10,112.15,5867261
11-Dec-14,114.10,114.86,113.26,114.04,5286118
10-Dec-14,114.50,115.03,113.35,113.50,7863461
9-Dec-14,112.23,115.00,111.56,114.99,5888725
8-Dec-14,112.25,114.55,111.52,113.05,6357461
5-Dec-14,111.48,111.65,110.44,111.29,3021664
4-Dec-14,110.47,111.22,109.95,111.21,4645509
3-Dec-14,109.90,111.42,109.58,110.99,3411382
2-Dec-14,109.83,110.73,109.49,109.68,2753739
1-Dec-14,109.06,110.28,108.70,109.69,3458765
28-Nov-14,110.64,110.80,109.92,110.08,2121495
26-Nov-14,111.79,111.99,109.84,110.16,5268960
25-Nov-14,110.09,112.26,109.70,111.71,8103369
24-Nov-14,108.96,111.70,108.41,108.79,9706644
21-Nov-14,110.17,110.61,109.97,110.30,3572062
20-Nov-14,108.00,108.86,107.87,108.82,2195714
19-Nov-14,108.55,108.82,108.21,108.66,2271154
18-Nov-14,107.70,109.09,107.29,108.80,2679269
17-Nov-14,107.21,107.73,107.15,107.37,2394470
14-Nov-14,107.92,108.42,107.39,107.45,2935483
13-Nov-14,108.32,108.97,107.97,108.14,4211737
