Date,Open,High,Low,Close,Volume
12-Jun-15,57.13,57.29,56.74,57.09,13439024
11-Jun-15,57.26,57.57,57.07,57.26,13943277
10-Jun-15,56.98,57.57,56.90,57.21,18622390
9-Jun-15,56.23,56.92,56.00,56.70,14669909
8-Jun-15,56.94,56.94,56.12,56.12,14248446
5-Jun-15,57.04,57.22,56.40,56.61,16890253
4-Jun-15,56.53,56.89,55.93,56.14,17627090
3-Jun-15,56.35,57.20,56.35,56.91,16197740
2-Jun-15,56.01,56.45,55.74,56.18,13148696
1-Jun-15,56.24,56.49,55.80,56.04,15746240
29-May-15,56.25,56.26,55.68,55.96,17291512
28-May-15,56.11,56.30,55.89,56.21,10348706
27-May-15,55.92,56.31,55.71,56.07,12526067
26-May-15,55.97,56.00,55.46,55.66,15859118
22-May-15,56.04,56.23,55.99,56.00,8568750
21-May-15,55.91,56.18,55.83,56.01,13466688
20-May-15,56.32,56.37,55.93,56.08,13291959
19-May-15,55.90,56.70,55.89,56.40,17194050
18-May-15,55.58,55.98,55.55,55.75,10637289
15-May-15,56.04,56.04,55.30,55.52,13323206
14-May-15,55.95,56.13,55.72,56.04,11025386
13-May-15,55.47,55.83,55.37,55.60,11448061
12-May-15,55.31,55.64,55.00,55.47,11705874
11-May-15,55.92,55.96,55.44,55.51,12922055
8-May-15,55.17,56.05,55.09,56.05,17477488
7-May-15,54.96,55.19,54.61,54.81,14723006
6-May-15,55.43,55.60,54.45,54.92,15670726
5-May-15,55.73,56.20,55.60,55.72,17068104
4-May-15,55.27,55.77,55.26,55.73,9981839
1-May-15,55.26,55.58,54.96,55.19,12069395
30-Apr-15,55.65,55.65,54.78,55.10,16577793
29-Apr-15,55.17,55.76,55.08,55.46,18144485
28-Apr-15,54.91,55.43,54.87,55.41,13028265
27-Apr-15,54.79,55.50,54.71,54.97,19852410
24-Apr-15,54.76,54.92,54.61,54.70,15268078
23-Apr-15,54.41,55.12,54.41,54.86,14657785
22-Apr-15,54.31,54.91,54.16,54.67,13563832
21-Apr-15,54.55,54.85,54.19,54.28,10954163
20-Apr-15,54.34,54.67,54.17,54.36,13327224
17-Apr-15,54.41,54.56,53.98,54.05,17569711
16-Apr-15,54.53,55.07,54.34,54.81,15643194
15-Apr-15,54.37,54.91,54.19,54.81,16899885
14-Apr-15,53.93,54.47,53.57,54.19,29289610
13-Apr-15,54.33,54.73,54.28,54.59,14931597
10-Apr-15,54.33,54.48,54.06,54.32,9531501
9-Apr-15,54.06,54.29,53.73,54.19,10279402
8-Apr-15,53.98,54.36,53.83,54.00,9828654
7-Apr-15,54.28,54.39,53.98,54.02,10853676
6-Apr-15,53.82,54.37,53.56,54.08,10786082
2-Apr-15,53.95,54.48,53.82,54.37,13498903
1-Apr-15,54.42,54.42,53.78,53.94,15436876
31-Mar-15,54.47,54.69,54.19,54.40,13306212
30-Mar-15,54.39,55.02,54.39,54.77,11706734
27-Mar-15,54.54,54.60,53.96,54.12,13600286
26-Mar-15,54.35,54.75,53.97,54.50,15038604
25-Mar-15,55.26,55.36,54.54,54.54,15413662
24-Mar-15,55.70,55.87,55.35,55.35,13927423
23-Mar-15,56.03,56.29,55.73,55.78,16477406
20-Mar-15,55.53,56.21,55.52,56.01,26487212
19-Mar-15,55.95,55.98,55.24,55.51,14841101
18-Mar-15,55.68,56.28,55.49,56.17,20000548
17-Mar-15,55.50,55.98,55.26,55.91,13107744
16-Mar-15,55.50,55.82,55.33,55.73,15505153
13-Mar-15,55.49,55.65,55.02,55.34,17591416
12-Mar-15,54.52,55.64,54.20,55.59,26266876
11-Mar-15,53.87,53.99,53.60,53.70,16612918
10-Mar-15,54.16,54.17,53.29,53.29,18723168
9-Mar-15,54.78,55.01,54.63,54.67,11937920
6-Mar-15,54.98,55.49,54.51,54.59,17298431
5-Mar-15,54.94,55.01,54.65,54.84,9576125
4-Mar-15,55.17,55.20,54.67,54.82,16653259
3-Mar-15,55.45,55.58,55.14,55.45,11759571
2-Mar-15,54.79,55.56,54.72,55.55,12988462
27-Feb-15,54.82,55.28,54.79,54.79,12936955
26-Feb-15,55.22,55.35,54.96,55.15,13579108
25-Feb-15,55.39,55.58,55.24,55.33,10516855
24-Feb-15,55.19,55.54,55.02,55.37,11957816
23-Feb-15,54.68,55.11,54.27,55.10,13715013
20-Feb-15,54.41,54.94,54.03,54.83,15049087
19-Feb-15,54.41,54.82,54.13,54.56,10784561
18-Feb-15,55.09,55.20,54.40,54.52,13231551
