Date,Open,High,Low,Close,Volume
12-Jun-15,72.74,72.90,72.40,72.43,7246589
11-Jun-15,73.23,73.67,72.84,72.94,7419959
10-Jun-15,72.71,73.33,72.34,72.93,11215817
9-Jun-15,72.70,72.85,72.36,72.47,8335572
8-Jun-15,73.43,73.49,72.60,72.61,9592958
5-Jun-15,74.17,74.27,72.98,73.06,10635085
4-Jun-15,74.46,74.98,73.95,74.15,8982797
3-Jun-15,74.70,75.20,74.48,74.89,6093825
2-Jun-15,74.54,75.00,74.42,74.53,5797834
1-Jun-15,74.69,75.08,74.41,74.73,5646037
29-May-15,74.82,74.88,74.15,74.27,6375067
28-May-15,75.07,75.16,74.65,74.84,5025471
27-May-15,75.07,75.51,75.00,75.19,6987068
26-May-15,75.77,75.83,74.82,74.90,10573616
22-May-15,76.20,76.38,75.86,75.86,6815006
21-May-15,75.80,76.42,75.56,76.11,6756162
20-May-15,76.48,76.50,75.83,75.90,10541876
19-May-15,78.18,78.36,76.23,76.43,22458581
18-May-15,79.37,79.94,79.16,79.92,8300267
15-May-15,78.71,79.25,78.57,79.24,6617173
14-May-15,78.37,78.77,78.02,78.72,6170246
13-May-15,79.18,79.43,77.98,78.16,8421167
12-May-15,78.02,79.48,77.87,78.96,8448963
11-May-15,78.32,78.61,78.03,78.10,3744882
8-May-15,78.60,79.25,78.40,78.53,5347396
7-May-15,77.73,78.34,77.30,78.03,5538289
6-May-15,77.92,78.12,77.17,77.65,5480055
5-May-15,79.01,79.01,78.06,78.13,5855414
4-May-15,78.98,79.54,78.46,79.18,6669210
1-May-15,78.20,78.76,78.17,78.60,5000017
30-Apr-15,77.83,78.48,77.59,78.05,8795903
29-Apr-15,78.70,78.78,77.79,77.88,7108407
28-Apr-15,79.46,79.48,78.77,79.10,4895876
27-Apr-15,79.77,79.86,79.29,79.37,6449809
24-Apr-15,79.38,80.93,79.24,79.84,6867845
23-Apr-15,78.38,79.54,78.20,79.18,7468851
22-Apr-15,77.73,78.64,77.55,78.43,7594683
21-Apr-15,78.61,78.84,77.90,78.03,6200236
20-Apr-15,78.39,78.83,78.02,78.14,8847616
17-Apr-15,78.94,79.15,77.55,77.88,11822777
16-Apr-15,79.50,79.89,79.13,79.24,8015088
15-Apr-15,80.58,80.98,79.65,79.74,6200361
14-Apr-15,80.29,80.42,79.68,80.15,5531712
13-Apr-15,80.40,80.92,80.27,80.29,4698111
10-Apr-15,80.86,81.00,80.55,80.65,5480618
9-Apr-15,80.84,81.39,80.58,80.84,3923559
8-Apr-15,80.39,81.23,80.36,81.03,6694715
7-Apr-15,81.09,81.29,80.46,80.50,6606095
6-Apr-15,80.46,81.33,80.15,80.99,6380720
2-Apr-15,80.73,81.32,80.55,80.73,5795731
1-Apr-15,82.28,82.28,80.43,80.71,8306662
31-Mar-15,82.39,83.04,82.25,82.25,5587701
30-Mar-15,81.70,82.80,81.43,82.53,5701696
27-Mar-15,81.85,82.18,81.24,81.35,5717385
26-Mar-15,80.93,82.31,80.65,81.89,8267163
25-Mar-15,83.09,83.25,81.31,81.32,6645873
24-Mar-15,83.19,83.71,82.96,83.05,5359147
23-Mar-15,83.18,83.90,83.12,83.31,6505721
20-Mar-15,81.83,83.49,81.71,83.24,12365307
19-Mar-15,82.33,82.44,81.37,81.52,7212928
18-Mar-15,81.98,82.96,81.16,82.53,10252336
